名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
贾平凹故居,http://travel.qunar.com/p-oi706071-jiapingaoguju,"

地址:
陕西省商洛市丹凤县内

",棣花又是丹凤籍著名作家贾平凹的故乡。 当年二郎庙前有一魁星楼，魁星之笔尖恰恰指到贾平凹家房脊， 故乡人传说平凹是魁星点出的“商山文曲星”。,全天,https://img1.qunarzz.com/piao/fusion/1508/78/6286170dbd4819.jpg_480x360x95_a8b51a39.jpg,5.0,,,免费,,2
天竺山国家森林公园,http://travel.qunar.com/p-oi5335669-tianzhushanguojiasenlin,"

地址:
商州区山阳县

",园内有森林植物200多种、野生动物40多种，珍贵野生动物有金钱豹、林麝、果子狸、狐狸、豹猫、锦鸡、青羊、杜鹃等。园内人文景观60余处，其中古迹6处，景点58个。石水塔，建于宋朝，位于铁瓦殿后百米，塔高丈余，围数尺，传为铁板道人所造，共3座，外呈圆形，传神生动，工艺独特。双峰观，是战争年代我党领导人李先念率军由湖北到商洛，在此休整之地。云盖寺，宋邵雍在此隐居时新建。藏经洞，清蜀僧超古禅师为藏经所凿。上天堂，建于南北朝时期，为最早的宫观遗址。药王庙，在主峰山腰...园内有森林植物200多种、野生动物40多种，珍贵野生动物有金钱豹、林麝、果子狸、狐狸、豹猫、锦鸡、青羊、杜鹃等。园内人文景观60余处，其中古迹6处，景点58个。石水塔，建于宋朝，位于铁瓦殿后百米，塔高丈余，围数尺，传为铁板道人所造，共3座，外呈圆形，传神生动，工艺独特。双峰观，是战争年代我党领导人李先念率军由湖北到商洛，在此休整之地。云盖寺，宋邵雍在此隐居时新建。藏经洞，清蜀僧超古禅师为藏经所凿。上天堂，建于南北朝时期，为最早的宫观遗址。药王庙，在主峰山腰两千米处，明石刻“药王庙”3字至今无损。,8:00-18:00,https://img1.qunarzz.com/travel/poi/1410/22/610fe949fa4aae2cffffffffc8d65eac.jpg_480x360x95_642d3270.jpg,5.0,建议游览时间：4小时,,80元,,3
柞水凤皇古城,http://travel.qunar.com/p-oi38596028-zuoshuifenghuanggucheng,,,,,5.0,,,具体收费情况以现场公示为主,,3
绣屏公园,http://travel.qunar.com/p-oi38336925-xiupinggongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,3
侏罗纪梦幻世界,http://travel.qunar.com/p-oi38047406-zhuluojimenghuanshijie,,集文化旅游、休闲度假、亲子娱乐、科普教育、沉浸演艺为一体的游乐园,,,5.0,建议游览时间：3小时 - 4小时,,,,4
商洛民俗文化创意园,http://travel.qunar.com/p-oi37806318-shangluominsuwenhuachuang,"

地址:
中心街与江滨北路交汇处西北侧


电话:
0914-2320856

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,5
红岩沟口Hongyangoukou Village,http://travel.qunar.com/p-oi35645218-hongyangoukou,,,,,5.0,,,具体收费情况以现场公示为主,,5
Z形桥,http://travel.qunar.com/p-oi35474325-zxingqiao,,,,,5.0,,,具体收费情况以现场公示为主,,5
镇安县博物馆Zhen'anxian Museum,http://travel.qunar.com/p-oi34270299-zhenanxianbowuguan,"

地址:
镇安县前街171号

",,9:00—17:00 每周一、二闭馆,,5.0,,,免费,,6
白龙湖Bailong Lake,http://travel.qunar.com/p-oi26969717-bailonghu,,白龙湖是金丝峡景区内大湖泊，是对原来天然石幢形成的天潭进行加高而建成的一个高峡平湖，犹如一块明镜镶嵌在万山丛绿之中，集水上娱乐、垂钓、品茶等休闲项目于一体。您可以乘坐竹筏、快艇、脚踏船畅游在碧波荡漾的湖面；也可以租借一套渔具，坐在湖边享受垂钓的乐趣；或者在湖边的小亭上围桌而坐，或享受棋牌的乐趣，或沏上一壶商南茶，品味商南茶独特的香味。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ae017abbf15501f362714a7448951ba7.jpg_480x360x95_840531fa.jpg,5.0,建议游览时间：2小时 - 3小时,,需购买景区大门票,,7
熊耳山Xionger Mountain,http://travel.qunar.com/p-oi24410749-xiongershan,,,,,5.0,,,具体收费情况以现场公示为主,,9
红岩寺古镇The Ancient Town of Hongyan Temple,http://travel.qunar.com/p-oi20979427-hongyansiguzhen,"

地址:
商洛市柞水县红岩寺镇


电话:
0914-4321643

",清代的时候，红岩寺镇已经成为今天商州、蓝田、山阳、长安、镇安、柞水六县区行旅途经之地，商贾云集，生产兴隆。沿着石板所砌的小路绕过临街的民房，进入与公路平行的街道，两侧就被古朴的建筑环绕，店铺夹道而设。红岩寺戏楼是这里的人气景点。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2f65042b60c96478590d404e4a1f0b92.jpg_480x360x95_d7d73c3a.jpg,5.0,建议游览时间：12小时 - 3天,,,,10
