名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
净土寺Jingtu Temple,http://travel.qunar.com/p-oi722591-jingtusi,"

地址:
大庆市杜尔伯特蒙古族自治县泰康镇西部

",净土寺位于大庆市郊的杜蒙自治县泰康镇，是当地知名的佛教寺院，也是黑龙江西部较大的宗教建筑。净土寺很年轻，建于2003年，但它的建筑特色依然是按照传统古朴的寺院风格所设，15米之高的山门展现着神圣庄严的灵韵。每当清晨，钟鸣悠远，黄昏渐进，鼓声浑厚，净土寺一直迎来不少虔诚之徒的参拜。大雄宝殿恢宏雄伟，精美琉璃瓦铺遍房檐，三如来佛落座于内，神态端庄，目视众生。在净土寺，相信你会寻得一份清净安宁的心境吧。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/84/6fcbd42f04e39f37.jpg_480x360x95_1c058beb.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
龙虎台旅游区Longhutai Tourist Area,http://travel.qunar.com/p-oi716070-longhutailu:youqu,,龙虎台，即辽代的混同江行宫，亦称韶阳川行在所，位于肇源县新站镇古城村址。龙虎台在辽代为重要陪都，现存有宫阙（紫禁城）城垣，道宗皇帝的墓葬遗存，战防军事工事等。此景点和富强古城的军事甬道相呼应配伍可形成一个完整的辽金文化旅游景区。这一带有是西南得根小米、榛子、忘忧（黄花菜）等方物贡品的主产区。位于富强乡境内嫩江主航道中心的鳇鱼岛，还保持着原始植被风貌。方圆六十里的龙虎台开发区，独特的然风光与深厚的历史积淀并存，极具开发价值。,,,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
富裕正洁寺,http://travel.qunar.com/p-oi36159291-fuyuzhengjiesi,"

地址:
一心乡林肇公路寿山风景区

",富裕正洁寺始建于清康熙年间，历史悠久，有大雄宝殿、宗喀巴大师殿、释伽牟尼佛殿、三祜主殿等藏式古典风格的殿宇，雕梁画栋，气势恢弘。,8：00-17：00,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
大同历史陈列馆Datonglishi Exhibition Hall,http://travel.qunar.com/p-oi34274299-datonglishichenlieguan,,,,,5.0,,,免费,,4
林甸东北国防文化博物馆Lindian Dongbei Guofang Culture Museum,http://travel.qunar.com/p-oi34273745-lindiandongbeiguofang,"

地址:
大庆市林甸县客运站城南新区1公里

",,全年 8:00-17:00,,5.0,,,免费,,4
老北京小吃街LaoBeiJing XiaoChi Jie,http://travel.qunar.com/p-oi24441670-laobeijingxiaochijie,,老北京小吃街小吃的店铺装修的非常有老北京的特色，街上小吃品种繁多，人气旺，是美食爱好者的好去处。,,,5.0,建议游览时间：3小时,,,,6
老街基公园Laojieji Park,http://travel.qunar.com/p-oi23343100-laojiejigongyuan,,老街基公园内有篮球场，草坪，绿树成荫，花香扑鼻，风景优美，是人们娱乐休闲，锻炼健身的好地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/544581e466396c1bcbb4dab7a5918bb0.jpg_480x360x95_bc992d6f.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
大庆第一口油井First Oil Well in Daqing,http://travel.qunar.com/p-oi23342468-daqingdiyikouyoujing,,,,,5.0,,,具体收费情况以现场公示为主,,7
大庆西站下沉广场Daqing Xizhan Xiachen Square,http://travel.qunar.com/p-oi20002143-daqingxizhanxiachenguang,,,,,5.0,,,具体收费情况以现场公示为主,,7
创业广场Chuangye Square (Northeast Gate),http://travel.qunar.com/p-oi20001318-chuangyeguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,8
大庆市奥林匹克公园Daqingshi Aolinpike Park,http://travel.qunar.com/p-oi20000774-daqingshiaolinpikegong,,,,,5.0,,,具体收费情况以现场公示为主,,9
