名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
四礵列岛,http://travel.qunar.com/p-oi38803653-sishuangliedao,,四礵列岛由北礵、南礵、东礵、西礵等18个岛屿及17个礁石组成，岛上风景秀丽，各种各样的礁石，还有狮子峰、皇帝帽等自然景观，是一个看日出、赏日落的好地方。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
台山岛,http://travel.qunar.com/p-oi38035049-taishandao,,台山岛位于福鼎市沙埕镇，岛上风景秀丽，有各种各样的礁石，还有独特的十二生肖景观、雨伞礁、一线天、木屋、灯塔等等，可以来此处看日出、赏日落、露营、烧烤，是周末度假的理想之地。,,,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,1
福安兰谷温泉度假村,http://travel.qunar.com/p-oi38675847-fuanlanguwenquandujia,,兰谷温泉位于溪潭镇兰田村，福安西高速出口300米处，距离福安市区仅6公里，占地面积3.3万平方米。依山而建，总计划投资8000万元，规划有室内外温泉池58个。一期已投入2000万元，以畲医药养颜养生温泉为主题，开发有26个不同主题的养生药泉，二期将重点开发院落式私家温泉，给福安人一个家门口的“治愈系”温泉度假胜地。,,,5.0,,,,,2
九龙祭瀑布群,http://travel.qunar.com/p-oi702424-jiulongjipubuqun,"

地址:
宁德市周宁县七步乡


电话:
0593-2825260

",属省级风景名胜区。位于周宁县七步乡，距城东南14公里处。由九级大小瀑布组成，总落差为300米。传说古时有九龙聚州，形成9个龙潭，因而得名。九瀑各展奇姿，各具特色。其中，第一级瀑布最为壮观，瀑高46.7米，宽76米，丰水期可达83米。瀑流经陡峭的崖巅腾冲跌落，直泻深潭，声如轰雷，震撼山谷，瀑花飞溅，激化为迷蒙烟雾，弥漫山谷，若逢斜阳映照，幻成彩虹横空，斑斓耀眼。巨瀑右上方还有一个直径14米的潭穴镶嵌瀑间，人称“龙眼”。第四级称为龙牙瀑，瀑长46米，瀑面中有巨石突兀...属省级风景名胜区。位于周宁县七步乡，距城东南14公里处。由九级大小瀑布组成，总落差为300米。传说古时有九龙聚州，形成9个龙潭，因而得名。九瀑各展奇姿，各具特色。其中，第一级瀑布最为壮观，瀑高46.7米，宽76米，丰水期可达83米。瀑流经陡峭的崖巅腾冲跌落，直泻深潭，声如轰雷，震撼山谷，瀑花飞溅，激化为迷蒙烟雾，弥漫山谷，若逢斜阳映照，幻成彩虹横空，斑斓耀眼。巨瀑右上方还有一个直径14米的潭穴镶嵌瀑间，人称“龙眼”。第四级称为龙牙瀑，瀑长46米，瀑面中有巨石突兀，形似龙牙，把瀑布扯成两半，故名。两股瀑流冲进一个面积为2800平方米的“卧龙潭”。,7：30——17：30,https://img1.qunarzz.com/p/tts5/1801/3e/4b099978841b7b02.jpg_480x360x95_6cbd293d.jpg,5.0,,,50元,,2
浮鹰岛,http://travel.qunar.com/p-oi38951037-fuyingdao,,,,,5.0,,,,,3
宁德霍童支提山Huotongzhiti Mountain,http://travel.qunar.com/p-oi713338-ningdehuotongzhitishan,,支提山海拔800多米，风景很美，站在山顶可以一览众山小。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,5
厦地村,http://travel.qunar.com/p-oi39145429-shadicun,,,,,5.0,,,,,7
东礵岛,http://travel.qunar.com/p-oi38909884-dongshuangdao,,,,,5.0,,,,,8
闽东大峡谷,http://travel.qunar.com/p-oi38898084-mindongdaxiagu,,,,,5.0,,,,,8
小京沙滩,http://travel.qunar.com/p-oi38672736-xiaojingshatan,,,,,5.0,,,具体收费情况以现场公示为主,,8
四坪村,http://travel.qunar.com/p-oi38043800-sipingcun,,四坪村位于屏南县熙岭乡， 这里森林茂盛，叠石流水、错落老宅。漫步古村当中， 黄墙黛瓦、马头高墙， 潺潺溪流在村中流淌，抬头就能见到柿子树的踪迹， 秋冬来还能看到村民晾晒的柿子，整整齐齐地排列着，空气中弥漫着一股清甜的香气。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,10
龙潭古镇,http://travel.qunar.com/p-oi38035112-longtanguzhen,,"龙潭古镇位于屏南，古镇里有很多吊脚楼，还有大量的明清建筑，古镇内的石板街长达三公里，显得古朴沧桑。
",,,5.0,建议游览时间：12小时,,,,10
龙漈花海,http://travel.qunar.com/p-oi38033350-longjihuahai,"

地址:
福建省宁德市屏南县棠口镇漈头村上村35号


电话:
18950556996

","福建龙漈花海旅游发展有限公司成立于2020年9月11日，龙漈花海位于漈头古村上村，基地规划面积6542亩，计划投资13.26亿元龙漈花海项目：项目分三期建设完成，以菊花种植及深加工为切入点，逐步打造四季花海景区、甜皇菊产业、药膳浓缩产业，景区包括：拓主坪景区、游乐园、特色民宿度假区（畲族药膳文化、高山茶叶文化、南少林武术文化、农耕文化）、龙岗寨景区及四季花海农业种植园（菊花博物园、百果采摘园、盆景（赤楠）园、本草园、紫荆园、玫瑰园、紫薇园）。现已完成投资2200万元，种植菊花近千亩，菊花品种600多种，其中茶菊10种。深加工产品包括：甜皇菊茶、皇菊饼、长寿酒、皇菊巧克力、皇菊软糖等， 2020年产值为2300万元。龙漈花海景区建设完成游客服务中心、演艺舞台、园区内的多条道路建设，及碰碰车、碰碰船、滑索、喊泉、网红桥、奶瓶喂鱼等游乐设施建设。龙漈花海水果采摘园规划面积300亩，以种植有机四季水果为目标，现已种植了50亩无花果、10亩火生果、10亩桑葚、10亩芙蓉李、10亩油奈、10亩百香果，将来基地还将继续选育适合的水果品种进行种植，为学生提供一个集水果育苗、管护、采摘为一体的百果园。
",全年 08:30-17:30,,5.0,建议游览时间：2小时 - 3小时,,,,10
福鼎市水北溪生态公园,http://travel.qunar.com/p-oi37807120-fudingshishuibeixisheng,,,,,5.0,,,具体收费情况以现场公示为主,,10
