名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
云顶茶乡景区,http://travel.qunar.com/p-oi38340812-yundingchaxiangjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,3
空山天盆风景区,http://travel.qunar.com/p-oi37806352-kongshantianpenfengjing,,,,,5.0,,,具体收费情况以现场公示为主,,4
皇家山景区,http://travel.qunar.com/p-oi37800993-huangjiashanjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,4
染房里,http://travel.qunar.com/p-oi35303242-ranfangli,,,,,5.0,,,具体收费情况以现场公示为主,,6
南天门森林运动公园Nantianmen Senlin Yundong Park,http://travel.qunar.com/p-oi35217022-nantianmensenlinyundong,,,,,5.0,,,具体收费情况以现场公示为主,,7
三十二梁旅游景区Sanshi'erliang Tourism Sceneic Area,http://travel.qunar.com/p-oi35216037-sanshierlianglu:youjing,"

地址:
云台镇龙尾村

",,以景区实际情况为准,,5.0,,,具体收费情况以现场公示为主,,7
晏阳初博物馆Yan Yangchu Museum,http://travel.qunar.com/p-oi34271782-yanyangchubowuguan,"

地址:
巴中市巴州区塔子山晏阳初文化公园


电话:
2266225

",巴中市巴州区晏阳初博物馆，始建于2003年，陈列有文物，文献资料、图片等，其中有晏阳初遗物、手迹、笔记、书画等珍贵文物。,上午：8:30-11:30，下午：2:00-5:30,,5.0,建议游览时间：1小时 - 2小时,,免费,,7
驷马水乡玻璃桥景区Sima Water Town Glass Bridge Scenic Area,http://travel.qunar.com/p-oi23352404-simashuixiangboliqiao,"

地址:
巴中市平昌县驷马水乡驷马镇革新村赵贤湾


电话:
0827-8558558

",驷马水乡玻璃桥景区位于平昌县驷马水乡，是全透明高空玻璃桥，配套建有七彩滑道、悬崖秋千、高空溜索、系留热气球、丛林穿越、军事乐园等项目。行走玻璃桥，腾云驾雾，步步惊心；醉美山水间，移步一景，水乡揽胜。,10/08-04/30(冬春季) 09:00-17:00;05/01-10/07(夏季) 08:00-18:00,https://img1.qunarzz.com/piao/fusion/2004/35/0c3bd45e6d17c002.jpg_480x360x95_f626b585.jpg,5.0,建议游览时间：2小时 - 4小时,,{'驷马水乡玻璃桥景区门票成人票\n\n': ['¥55起']},,8
白衣古镇Baiyi Ancient Town,http://travel.qunar.com/p-oi23344819-baiyiguzhen,"

地址:
巴中市平昌县白衣庵居


电话:
0827-6411180

",古镇始建于秦汉，是古柳州城遗址，距今已有两千余年历史白衣五山环抱，集聚巴山秀水之灵气。入选四川省第二批文化旅游特色小镇。,全年 周一-周五 08:30-17:30;全年 周六-周日 08:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cdc8bd5728e1cfe41a6b8de0ead7c1d4.jpg_480x360x95_bbe0d128.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,8
红四门超市Hongsi Gate,http://travel.qunar.com/p-oi22764852-hongsimenchaoshi,,红四门始建于明代，是川东北地区古老的城墙之一，现在城墙的内外壁上还刻有红军的胜利标语。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
琉璃寺Liuli Temple,http://travel.qunar.com/p-oi19977320-liulisi,,,,,5.0,,,具体收费情况以现场公示为主,,9
