名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
仙鹤洞,http://travel.qunar.com/p-oi707226-xianhedong,"

地址:
四川-广安-华蓥市


电话:
0826-2336486

",仙鹤洞位于华蓥市溪口镇六池堡，海拔690米，距华蓥市区28公里。形成于二千万年前，总长约10公里，现已开发3公里。据传，仙鹤洞的“仙鹤”，是武汉黄鹤楼的黄鹤飞临至此，见此处风光秀丽，洞景壮观，就在该洞长久地住了下来，故名仙鹤洞。洞中景观奇特，令人眼花缭乱。“出水芙蓉”、“迎客古松”、“小桥流水”、“栖鹤听泉”、“海底朝天”、“高僧打禅”，各种图像栩栩如生。特别是仙鹤大厅，景致更奇，石钟乳景观千姿百态，遍布林立，有的像神仙聚会，有的像智者吹箫，有的似乐师...仙鹤洞位于华蓥市溪口镇六池堡，海拔690米，距华蓥市区28公里。形成于二千万年前，总长约10公里，现已开发3公里。据传，仙鹤洞的“仙鹤”，是武汉黄鹤楼的黄鹤飞临至此，见此处风光秀丽，洞景壮观，就在该洞长久地住了下来，故名仙鹤洞。洞中景观奇特，令人眼花缭乱。“出水芙蓉”、“迎客古松”、“小桥流水”、“栖鹤听泉”、“海底朝天”、“高僧打禅”，各种图像栩栩如生。特别是仙鹤大厅，景致更奇，石钟乳景观千姿百态，遍布林立，有的像神仙聚会，有的像智者吹箫，有的似乐师弹琴。过了大厅还有“洗手池”、“擎天柱”、“雅乐廊”、“天籁”、“夕阳红”、“鹊桥会”等奇妙景观，让人目不？L接。洞中最大的厅有500多平方米，最高处69米，支洞近50余个，有300余处，洞中冬暖夏凉，四季如春。洞中小河有一种小鱼，人们能看见鱼的内脏，俗称“玻璃鱼”。此洞从1998年开发以来，已对外开放2.8公里。龙宫、迷宫、海底世界、阴河幽径等景观正在开发之中。,08：00—18：00,,5.0,,,86元,,1
水杉山庄,http://travel.qunar.com/p-oi718825-shuishanshanzhuang,"

地址:
华蓥市天池镇仰天窝

",水杉山庄位于华蓥市天池镇仰天窝，属华蓥山森林公园一期工程，1997年建成使用。山庄地处高山，四周环绕着上万亩天然白夹竹、阔叶林和杉木、马尾松人工林，分布有“植物活化石”水杉林、枫树林、柳杉林、花竹和小石林等景点，冬可观雪景，盛夏可避暑。同时，随着华蓥山森林公园二期工程建设的启动，将建立二星级旅游接待中心及森林沐浴区、 山顶牧场、儿童游乐设施、实弹射击场等。山庄交通便捷，服务功能完善，现为国家AA级旅游区，是人们休闲度假的好去处。,全天,,5.0,,,免费,,1
岳池龙湖公园,http://travel.qunar.com/p-oi39316183-yuechilonghugongyuan,,,,,5.0,,,,,1
铜锣山生态旅游度假区梦想家乐园,http://travel.qunar.com/p-oi38339295-tongluoshanshengtailu:,,景区面积2200亩，资源丰富，有银杏、楠木、香樟、桂花、枫香、马尾松、柳杉、楠竹、刺黑竹等天然树竹资源；有野猪、刺猬、黄麂、猫头鹰、山喳等野生动物资源，含氧量高，生态宜居。森林康养酒店1个，生态餐厅1个，林间木屋8间，林间玻璃高空游憩平台，森林游步道，仙女湖。奇幻梦想家园区内儿童游艺区（卡丁车，高空秋千，丛林穿越，蹦蹦云，儿童游乐拓展设备...）萌宠观赏区（羊驼、矮马、香猪、浣熊、骆驼、羊、土拨鼠...）鸟语林（孔雀、鹦鹉、珍珠鸡、七彩山鸡...），花海，观景平台，生态体感步道等。,,,5.0,建议游览时间：3小时 - 5小时,,,,2
玉兔公园,http://travel.qunar.com/p-oi37806913-yutugongyuan,,,,,5.0,,,,,3
向日葵基地,http://travel.qunar.com/p-oi36173126-xiangrikuijidi,"

地址:
广安市邻水县黎家乡斗篷石村4组59号

",向日葵基地位于四川省邻水县九龙镇黎家乡斗篷石村4组59号（重庆市长寿区洪湖镇东风村冲口桥交界处前行300米），一期占地面积100余亩，接待量一次可接待300余人，住宿可容纳300余人，距离重庆主城约90余公里，是由向日葵旅游开发有限公司开发打造体验式研学基地。基地提倡“玩中学，学中乐”走进基地，走进田间，接触自然，听虫鸣鸟叫，体验农耕生活，感受乡间趣味。基地还结合有民间手工艺术，让人感受民间艺术的魅力，也为家长及孩子提供一个亲子互娱、孩子体验学习，真正一站式的趣味体验式学习的基地。,08:30-20:00,,5.0,建议游览时间：3小时 - 4小时,,188元,,3
"岳池玉屏湖Yuping Lake, Yuechi County",http://travel.qunar.com/p-oi35678263-yuechiyupinghu,,,,,5.0,,,具体收费情况以现场公示为主,,4
"武胜梦田花海Dreamland Flower Sea, Wusheng",http://travel.qunar.com/p-oi35305982-wushengmengtianhuahai,,武胜梦田花海地理位置优越、交通便利。占地面积辽阔，花卉品种丰富多彩，仿佛置身于花的海洋，十分美丽。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
"武胜东西关钓鱼城Dongxiguan Fishing Town, Wusheng",http://travel.qunar.com/p-oi35275922-wushengdongxiguandiao,,武胜东西关钓鱼城位于广安市武胜县，拥有标准化钓鱼池和嘉陵江畔的美景，是垂钓休闲的好去处。,,,5.0,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,6
御临河景区Yulinhe Scenic Resort,http://travel.qunar.com/p-oi27338809-yulinhejingqu,"

地址:
四川省华蓥市么滩镇

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,6
长滩寺河Changtansi River,http://travel.qunar.com/p-oi24410632-changtansihe,"

地址:
四川省岳池县境内


电话:
+86 28 8667 9793

",,全年 全天开放,https://flight-feed.qunarzz.com/as3/426/image/poi_vishnu/10186f00-b848-4c56-be5f-f7b05ef8aff6.jpg,5.0,,,具体收费情况以现场公示为主,,8
