名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南寺头清真寺Nansitou Mosque,http://travel.qunar.com/p-oi714301-nansitouqingzhensi,,位于大厂回族自治县南寺头村西。始建于明朝中叶，至今有五百年左右的历史。据传，明朝永乐年间，回族杨氏先人杨国忠在三河县任职，后定居南寺头。该寺既有传统艺术的特点，又有浓厚的阿拉伯建筑艺术色彩，原有殿、堂、厅四十七间，其规模之大在京东颇享盛名。,,https://img1.qunarzz.com/travel/poi/1708/8e/13d3842195a87837.jpg_480x360x95_3c171c9f.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
后两间清真寺Houliangjian Mosque,http://travel.qunar.com/p-oi716266-houliangjianqingzhensi,,始建于明朝中叶距今有500多年历史，原大殿顶端为金属铜顶，紫檀木匾“遵古正曲”悬挂殿前。有4棵古松柏树苍劲挺拔，郁郁葱葱做为历史见证。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/01bfc970a1bb34ed25febf497c0efd8e.jpg_480x360x95_fde609cd.jpg,5.0,建议游览时间：1小时,,,,1
大围河清真寺Daweihe Mosque,http://travel.qunar.com/p-oi702303-daweiheqingzhensi,,始建于明朝（1403）永乐年间，清朝乾隆年间重修。古寺经过历代修缮，尤其是近期重大修后，更加气势雄伟富丽堂皇。迎门大殿中六柱耸起，四面挑角做为脊楼。脊角梁头镶有龙头、等兽头装饰，花纹绚丽，晶莹剔透，基本保持了乾隆年间的建筑风格。,,,5.0,建议游览时间：1小时,,,,2
华堂国际高尔夫球场,http://travel.qunar.com/p-oi706099-huatangguojigaoerfuqiu,,华堂国际高尔夫球场位于三河市燕郊镇，潮白河东岸，占地100公顷，由世界著名的澳大利亚高尔夫球场建筑师格威？马殊先生设计，世界著名管理公司CROI管理。现已投入使用的项目有18洞、72杆国际锦标赛级高尔夫球场，21个打拉练习场，高尔夫学校，高尔夫专卖店，推杆及切杆果岭，练习沙坑等。,,,5.0,,,,,2
南小街清真寺Nanxiaojie Mosque,http://travel.qunar.com/p-oi710548-nanxiaojieqingzhensi,,该寺始建于1993年，当时只有三间平房。落实党的民族宗教政策后，后重新翻建。1998年底，廊坊市区建银河高架桥，该寺搬迁，市政府投资120万元，扩建成占地2.5亩具有阿拉伯风格的新式建筑。,,,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
玫瑰庄园温泉,http://travel.qunar.com/p-oi7528440-meiguizhuangyuanwenquan,,霸州玫瑰庄园温泉假日酒店由玫瑰庄园假日酒店、花园洋房、网球场、羽毛球场、高尔夫练习场、垂钓中心等组成。玫瑰庄园酒店共有百余套客房及6栋高级客用温泉公寓，一套中式豪华四合院。客房共分为七种户型：豪华标准间、豪华大床间、温泉标准间、温泉大床间、温泉行政套间、VIP温泉套房、中式豪华四合院，可供不同的消费群体进行选择。玫瑰庄园内的13个豪华包间与中西餐厅、宴会厅、西餐厅、咖啡厅可随时为客人提供不同风味的中外美食。,,https://img1.qunarzz.com/travel/d6/1604/eb/5af3e74dcd37a1f7.jpg_480x360x95_8a54da49.jpg,5.0,建议游览时间：4小时,,,,3
固安生态公园,http://travel.qunar.com/p-oi37189295-guanshengtaigongyuan,"

地址:
固安镇永定河孔雀城

",,全年 01:00-00:00,,5.0,,,具体收费情况以现场公示为主,,6
固安儿童公园,http://travel.qunar.com/p-oi37183566-guanertonggongyuan,,,,,5.0,,,,,6
霸州步行街,http://travel.qunar.com/p-oi37182619-bazhoubuxingjie,,,,,5.0,,,具体收费情况以现场公示为主,,7
国华影视基地Guohua Film and Television Base,http://travel.qunar.com/p-oi35912922-guohuayingshijidi,,国华影视基地分为老北京大街、天空之境、华府庄园等几大区域，是多部知名电影电视剧的拍摄取景地。该基地还被评为河北省级文化产业示范基地。,,,5.0,建议游览时间：12小时 - 3天,,,,9
香河老人展室Xianghe Old Woman Exhibition Room,http://travel.qunar.com/p-oi35384998-xianghelaorenzhanshi,,香河老人展室位于潮白新村，小院是农家的土房子，小院右侧就是老人的展室，展室看上去很简朴。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,9
燕南春酒文化博览园Yannanchun Wine Culture Expo Park,http://travel.qunar.com/p-oi35216270-yannanchunjiuwenhuabo,,燕南春酒文化博览园内有两棵百年的玉兰树，早春开花的时候，是博览园内一道亮丽的风景线。走进博览园内，就能闻到浓郁的酒香，在这里可以了解到很多关于酒的知识。,,,5.0,,,,,10
