名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
动物标本博物馆,http://travel.qunar.com/p-oi37806568-dongwubiaobenbowuguan,,动物标本博物馆里面有恐龙化石，各种各样的动物标本，逼真的动物音效，适合带孩子来游玩学习。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
德州市革命烈士陵园,http://travel.qunar.com/p-oi39160590-dezhoushigeminglieshi,,,,,5.0,,,,,1
大禹公园,http://travel.qunar.com/p-oi38335548-dayugongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,2
齐河博物馆群,http://travel.qunar.com/p-oi36394700-qihebowuguanqun,,"齐河博物馆群包括根雕艺术博物馆、古生物化石博物馆、珍奇矿石博物馆等共十九个展馆，其中，根雕博物馆有很多巨型根雕和沉香木雕，紫檀博物馆内收藏了大量的古木家具，珍藏馆内有两颗直径1.5米的夜明珠，非常漂亮。
",,,5.0,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,2
籍庄Jizhuang Village,http://travel.qunar.com/p-oi35305262-jizhuang,,,,,5.0,,,具体收费情况以现场公示为主,,4
荷盛源有机莲藕景区Heshengyuan Organic Lotus Root Scenic Area,http://travel.qunar.com/p-oi35234384-heshengyuanyoujilianou,"

地址:
德州市-齐河县-晏黄路

",,全年 6:00-18:00,,5.0,,,具体收费情况以现场公示为主,,5
冀鲁边区革命纪念馆Jilu Bianqu Geming Memorial Hall,http://travel.qunar.com/p-oi34270657-jilubianqugemingjinian,"

地址:
德州市乐陵市朱集镇千年枣林游览区冀鲁边区


电话:
6268587

",冀鲁边区革命纪念馆分为序厅和5个独立的展示区，展品有图文和实物等，其中，第二展区主要展示边区抗日斗争的历史，第四展区则展示了边区革命英模及其典型事迹。,全年 周二-周日 9:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,免费,,5
后里仁村Houliren Village,http://travel.qunar.com/p-oi26959682-houlirencun,,,,,5.0,,,具体收费情况以现场公示为主,,6
南关村兴隆商业街NanGuanCun XingLong ShangYeJie,http://travel.qunar.com/p-oi24437414-nanguancunxinglongshang,,,,,5.0,,,具体收费情况以现场公示为主,,7
千佛塔Qianfota,http://travel.qunar.com/p-oi23341785-qianfota,,千佛塔建于清朝，是平原县的一处古迹。塔身为八棱柱形，青砖砌壁，上下匀称很是蔚然秀观。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dff93be9e4e7676750990a7f82723368.jpg_480x360x95_7670ffc6.jpg,5.0,建议游览时间：2小时,,,,7
李满碧霞祠Liman Bixia Temple,http://travel.qunar.com/p-oi20954950-limanbixiaci,"

地址:
德州市宁津县

",李满碧霞祠在山东省宁津县城北13公里、大柳镇驻地北3公里处。它的主要建筑包括山门、钟楼、鼓楼、碧霞祠正殿，正殿东面是普照寺，正殿后面是玉皇阁。因古庙的重建，每年的农历四月十五、九月十五的古庙会也兴盛了起来。李满古会期间，南到济南、泰安，北到沧州、河间及京津地区，东到乐陵、北镇，西到东光、衡水等地的富商巨贾、小商小贩、各色人等一应俱全，人山人海，车水马龙。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b2c78855fd8ee6611064f3256f897d56.jpg_480x360x95_2ff539c3.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
德州市运河文化博物馆Dezhoushi Yunhe Culture Museum,http://travel.qunar.com/p-oi20002162-dezhoushiyunhewenhuabo,,,,,5.0,,,具体收费情况以现场公示为主,,8
"夏津县碧霞宫道观Taoist Temple of Bixia Palace, Xiajin County",http://travel.qunar.com/p-oi20001733-xiajinxianbixiagongdao,,是一个道家宫观，主要供奉的是碧霞元君，正殿是碧霞祠，两侧配殿有三清殿、玉皇殿、财神殿等。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
