名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
新山梯田,http://travel.qunar.com/p-oi9644327-xinshantitian,,新山梯田位于米易新山傈僳族乡，梯田的面积中等，由于附近的山体比较陡峭，所以形成了独特的梯田风景。,,https://img1.qunarzz.com/travel/d6/1705/88/4c78dd162ba3bfb5.jpg_480x360x95_6f8e68b9.jpg,5.0,,,,,1
金沙江大峡谷,http://travel.qunar.com/p-oi38590133-jinshajiangdaxiagu,,金沙江大峡谷途经巧家、昭阳、永善、绥江等地，以民族文化和水电文明为特色，具有幽、秀、奇等特点，两岸沟壑纵横，峡谷内水流湍急。,,,5.0,建议游览时间：3小时,,,,1
易园,http://travel.qunar.com/p-oi38797981-yiyuan,,,,,5.0,,,具体收费情况以现场公示为主,,3
仁和公园,http://travel.qunar.com/p-oi38337008-renhegongyuan,,仁和公园 位于仁和区，总占地面积约22.77公顷，绿化率高达百分之七十多。公园以原有杨树林为基础进行建设，将具有顺义地方特色的“村名”、“潮白河”等元素融入公园设施建设，形成了独具特色的人文景观。,,,5.0,建议游览时间：2小时,,,,3
太阳湖公园,http://travel.qunar.com/p-oi38034707-taiyanghugongyuan,,"太阳湖公园位于盐边，公园景色秀丽、空气清新，园内设有植物科普区、湿地体验区和综合活动区，还有骑行环线，是户外运动爱好者的理想去处。
",,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
新山梯田,http://travel.qunar.com/p-oi37805981-xinshantitian,,,,,5.0,,,具体收费情况以现场公示为主,,4
渔门镇Yumen Townlet,http://travel.qunar.com/p-oi24412275-yumenzhen,"

地址:
四川省攀枝花市盐边县南街33号

",,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
望月楼 Wangyue TowerWangyue Tower,http://travel.qunar.com/p-oi24412181-wangyuelou_wangyue_to,,望月楼位于四川省攀枝花市米易县，始建于清朝康熙年间，是我国的清真寺的早期建筑之一。望月楼具有浓重的傣族文化特色，造型独特。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
攀西葡萄沟Panxi Grape Valley,http://travel.qunar.com/p-oi23342720-panxiputaogou,,,,,5.0,,,具体收费情况以现场公示为主,,7
米易县基督教永生堂Miyi Christian Yongsheng Hall,http://travel.qunar.com/p-oi19976776-miyixianjidujiaoyongsheng,,,,,5.0,,,具体收费情况以现场公示为主,,7
