名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
小塘子,http://travel.qunar.com/p-oi38676815-xiaotangzi,,,,,5.0,,,具体收费情况以现场公示为主,,2
"马关县茅坪国门Maoping Gateway, Maguan County",http://travel.qunar.com/p-oi35316933-maguanxianmaopingguomen,"

地址:
马关县都龙镇茅坪村委会

",马关茅坪国门为中越边境云南段存留的一道国门，为战争防御工事建筑，当地老百姓俗称“国门”。国门用青石、石灰、石沙垒筑而成，从外部看，南面好似一堵城墙，北面似一堡垒，这充分体现了当时建造者别出心裁的建造思想：“国门”既利于战争时的防御，又是和平时期中越两国之间界线的标志建筑。整个建筑朴素大方，坚固结实。从军事角度看结构严谨，布局科学合理。不倒的城墙，站立的是民族的尊严。,全年 全天开放,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,4
老山主峰Main Peak of Laoshan Mountain,http://travel.qunar.com/p-oi35216150-laoshanzhufeng,,"老山主峰海拔为一千多米，山势北陡南缓，共有二十多个山头。
",,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
文山壮族苗族自治州博物馆Wen Shan Zhuangzu Miaozu Zizhizhou Museum,http://travel.qunar.com/p-oi34273170-wenshanzhuangzumiaozu,"

地址:
文山市凤凰路凤凰广场

",文山壮族苗族自治州博物馆成立于1990年，现在州博物馆馆址为之后新建，三至六层归博物馆使用，拥有4个展厅和1个文物库房。基本陈列有民族、民俗陈列，采用以文物标本为基础，文字、图片为辅助的陈列方式。,9:00-17:00（周一闭馆）,,5.0,建议游览时间：2小时 - 3小时,,免费,,6
河野风景名胜区Heye Scenic Spot,http://travel.qunar.com/p-oi33083044-heyefengjingmingsheng,,河野风景名胜区位于广南县八宝镇，八宝河贯穿其中，山水环绕，白露成群，景色优美。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/17c63dd82e163311fefc5dc0225c78f6.jpg_480x360x95_276fdbd1.jpg,5.0,建议游览时间：4小时,,,,6
麻栗坡烈士陵园Malipo Martyrs Cemetery,http://travel.qunar.com/p-oi23343023-malipolieshilingyuan,,麻栗坡烈士陵园位于云南省麻栗坡县，背靠青山，面向祖国，山势巍峨，建筑宏伟。在老山战役及轮战中牺牲的烈士长眠于此，他们的辉煌业绩，永载史册，非常具有纪念意义。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2ec8df28129df07ac529f0ab5bd5e4b8.jpg_480x360x95_2749ff40.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
大吉厂云海Dajichang Cloud Sea,http://travel.qunar.com/p-oi20934362-dajichangyunhai,"

地址:
云南省马关县蔑厂乡

",马关大吉厂云海位居文山州十大美景奇观之首。尤其早晚观霞，霞光万丈，五彩缤纷令人心旷神怡。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d61ec2271317d42a718e505048a2773d.jpg_480x360x95_1ad2a132.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,9
西畴县鸡冠山森林公园Jiguan Hill Forest Park of Xichou,http://travel.qunar.com/p-oi20922454-xichouxianjiguanshansen,"

地址:
西畴县追栗街镇

",西畴县森林公园里宏伟山姿景观多达10余处。较有代表性的是香符沟景区以及芹菜塘景区。因风景秀丽，空气清新从而成为了广大游客喜爱的森林氧吧。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d4828bd9e2debe5d6b7ef91b6e346be8.jpg_480x360x95_b5868f46.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,9
仙人洞旧时代石器遗址Xianren Cave Old Stone Age Site,http://travel.qunar.com/p-oi20913290-xianrendongjiushidaishi,"

地址:
云南省西畴县小新寨

",仙人洞旧时代石器遗址属岩溶地貌，系地下河的古河道，沿石灰岩层间裂隙发育而成,全年 7:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,9
啊猛清真寺Ameng Mosque,http://travel.qunar.com/p-oi19969356-amengqingzhensi,,,,,5.0,,,,,10
