名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
江口风景区,http://travel.qunar.com/p-oi709998-jiangkoufengjingqu,,"江口风景区位于袁河上游，是1958年修建的一个水库，湖中岛屿众多，有“江西千岛湖”之称，景区面积达175平方公里,四面有青山环抱秀水泱泱。风景区共有三部分，下游三万亩库湾，港叉蜿蜓曲折，岛屿星罗棋布；中游有3公里长的高山峡谷，“两岸对峙倚霄汉，昂首只见 一线天”，是其真实写照，故有“小三峡”之称。上游水面达三万多亩，烟波浩涉一望无际，渔帆点点，远处山峰或隐或显，好一派湖光山色美景。人到这里，如同置身于山水画面之中，真有“舟在水上行，人在画中游”之感。南岸...江口风景区位于袁河上游，是1958年修建的一个水库，湖中岛屿众多，有“江西千岛湖”之称，景区面积达175平方公里,四面有青山环抱秀水泱泱。风景区共有三部分，下游三万亩库湾，港叉蜿蜓曲折，岛屿星罗棋布；中游有3公里长的高山峡谷，“两岸对峙倚霄汉，昂首只见 一线天”，是其真实写照，故有“小三峡”之称。上游水面达三万多亩，烟波浩涉一望无际，渔帆点点，远处山峰或隐或显，好一派湖光山色美景。人到这里，如同置身于山水画面之中，真有“舟在水上行，人在画中游”之感。南岸巍巍钟山、葱葱铃岗山，如翡翠屏风横空，北岸袁岭七峰状若游龙，从高耸入云的仰山俯冲而来，气势磅礴，锐不可挡。",,,5.0,,,,,1
宽心小镇,http://travel.qunar.com/p-oi39167461-kuanxinxiaozhen,,宽心小镇坐落在新余的“仰天中宫，祖山福地”--仰天岗，这里是一个禅隐综合度假小镇，有禅意山水园林景观、唐风宋韵建筑街区、世外桃源般的陌野农场，在这里我们将体验沉浸式禅意文化生活场景，感受简单、时尚、健康的生活方式，抛掉一切世俗挂碍，体验一回陶渊明笔下纯净的世外桃源生活。宽心小镇总占地面积约892亩，建筑面积62000余平方米.因为“仰天中宫，祖山福地”的深厚历史渊源，以及江西千年禅宗法脉精华，“诗到江西别是禅”的文化意境，所以以生活禅为主基调，创意塑造了小镇的一街（指月禅街）---两水（灵溪，长源）--三里（儿童乐园，户外草坪，鹿鸣禅院）一湖（见山湖）的序列格局，接下来我们将按照参禅的三种境界游览小镇，细细品味，感受小隐于山的诗意生活，旅游度假的艺术天堂，具江西特色的市井烟火与民俗体验,,,5.0,,,,,1
昌氏宗祠,http://travel.qunar.com/p-oi38676809-changshizongci,,,,,5.0,,,具体收费情况以现场公示为主,,1
七夕老街,http://travel.qunar.com/p-oi37807766-qixilaojie,,"七夕老街位于新余市仙女湖景区入口处，这里有七仙女雕像，还有一塘的睡莲，非常适取景拍照。
",,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2
北湖公园,http://travel.qunar.com/p-oi37801154-beihugongyuan,"

地址:
城北街道科环西路

","北湖公园内有很多雕塑，设计新颖、造型独特，有鲤鱼和茶壶造型，还有与传统历史文化相关的石雕；此外，公园内还建有滑冰场和门球馆等场馆。
",全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,,,2
分宜县博物馆Fenyixian Museum,http://travel.qunar.com/p-oi34273235-fenyixianbowuguan,"

地址:
分宜县分宜镇天工北大道

",,9:00-17:00（周一闭馆）,,5.0,,,免费,,3
新余花园山庄Huayuan Villa of Xinyu,http://travel.qunar.com/p-oi24410326-xinyuhuayuanshanzhuang,,花园山庄位于仙女湖若虹群岛东面的半岛，背山面水，坐东朝西。是一处度假休闲的佳所，因鸟语花香、绿树成荫，所以得名为花园山庄。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
石门森林公园Shimen Forest Park,http://travel.qunar.com/p-oi19976866-shimensenlingongyuan,,石门森林公园环境优美，交通便捷，是市民休闲观光，放松身心的好去处。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8ecd5e7fe2a807a1bd1e173119b09b4d.jpg_480x360x95_a411f951.jpg,5.0,建议游览时间：3天,,,,4
江口风景区,http://travel.qunar.com/p-oi709998-jiangkoufengjingqu,,"江口风景区位于袁河上游，是1958年修建的一个水库，湖中岛屿众多，有“江西千岛湖”之称，景区面积达175平方公里,四面有青山环抱秀水泱泱。风景区共有三部分，下游三万亩库湾，港叉蜿蜓曲折，岛屿星罗棋布；中游有3公里长的高山峡谷，“两岸对峙倚霄汉，昂首只见 一线天”，是其真实写照，故有“小三峡”之称。上游水面达三万多亩，烟波浩涉一望无际，渔帆点点，远处山峰或隐或显，好一派湖光山色美景。人到这里，如同置身于山水画面之中，真有“舟在水上行，人在画中游”之感。南岸...江口风景区位于袁河上游，是1958年修建的一个水库，湖中岛屿众多，有“江西千岛湖”之称，景区面积达175平方公里,四面有青山环抱秀水泱泱。风景区共有三部分，下游三万亩库湾，港叉蜿蜓曲折，岛屿星罗棋布；中游有3公里长的高山峡谷，“两岸对峙倚霄汉，昂首只见 一线天”，是其真实写照，故有“小三峡”之称。上游水面达三万多亩，烟波浩涉一望无际，渔帆点点，远处山峰或隐或显，好一派湖光山色美景。人到这里，如同置身于山水画面之中，真有“舟在水上行，人在画中游”之感。南岸巍巍钟山、葱葱铃岗山，如翡翠屏风横空，北岸袁岭七峰状若游龙，从高耸入云的仰山俯冲而来，气势磅礴，锐不可挡。",,,5.0,,,,,10
宽心小镇,http://travel.qunar.com/p-oi39167461-kuanxinxiaozhen,,宽心小镇坐落在新余的“仰天中宫，祖山福地”--仰天岗，这里是一个禅隐综合度假小镇，有禅意山水园林景观、唐风宋韵建筑街区、世外桃源般的陌野农场，在这里我们将体验沉浸式禅意文化生活场景，感受简单、时尚、健康的生活方式，抛掉一切世俗挂碍，体验一回陶渊明笔下纯净的世外桃源生活。宽心小镇总占地面积约892亩，建筑面积62000余平方米.因为“仰天中宫，祖山福地”的深厚历史渊源，以及江西千年禅宗法脉精华，“诗到江西别是禅”的文化意境，所以以生活禅为主基调，创意塑造了小镇的一街（指月禅街）---两水（灵溪，长源）--三里（儿童乐园，户外草坪，鹿鸣禅院）一湖（见山湖）的序列格局，接下来我们将按照参禅的三种境界游览小镇，细细品味，感受小隐于山的诗意生活，旅游度假的艺术天堂，具江西特色的市井烟火与民俗体验,,,5.0,,,,,10
昌氏宗祠,http://travel.qunar.com/p-oi38676809-changshizongci,,,,,5.0,,,具体收费情况以现场公示为主,,10
