名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
芙蓉湖公园,http://travel.qunar.com/p-oi36407089-furonghugongyuan,,芙蓉湖公园内有大片开阔草坪，适合野餐露营，种植有樱花和梅花。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
东蠡湖,http://travel.qunar.com/p-oi9193542-donglihu,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/96814ef0975460e17031710228221d66.jpg_480x360x95_e1b07ae2.jpg,5.0,,,,,4
蓝莲花,http://travel.qunar.com/p-oi3739586-lanlianhua,,,,https://img1.qunarzz.com/travel/poi/1507/b2/1d31fed8321330.jpg_480x360x95_3349abd8.jpg,5.0,,,82元,,5
舜过山森林公园,http://travel.qunar.com/p-oi38627959-shunguoshansenlingong,,舜过山森林公园内有许多仿古建筑，有以“二十四孝”为主题的石雕塑像和许多名家题字碑刻的“八荣八德”青砖门楼。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
铜官山,http://travel.qunar.com/p-oi37393730-tongguanshan,,"铜官山风景优美、空气清新，这里有美丽的盘山公路，还有沿途迷人的美景，非常适合航拍。
",,,5.0,建议游览时间：2小时 - 3小时,,无需门票,,6
太湖新天地湿地公园,http://travel.qunar.com/p-oi708762-taihuxintiandishidigong,,“太湖新天地”生态公园，坐落在太湖国家旅游度假区景观大道湿地公园和水星游艇俱乐部之间，占地面积118亩，其中绿地面积7．5万平方米。游人可选用公交、游艇或高速公路抵达。太湖新天地临山环水，绿草如茵，垂柳婀娜。内设多功能餐厅、茶楼、酒吧等经营设施，创造以湿地体验、湖滨观光、娱乐休闲和文化感悟为主的生态公园。“水调歌头”餐厅是迄今为止全国最大的单体木结构建筑，其精彩之处除考究的原木设计理念及纯中国味的各色摆设外，它的各色包厢的命名也赋予了浓浓的文化情...“太湖新天地”生态公园，坐落在太湖国家旅游度假区景观大道湿地公园和水星游艇俱乐部之间，占地面积118亩，其中绿地面积7．5万平方米。游人可选用公交、游艇或高速公路抵达。太湖新天地临山环水，绿草如茵，垂柳婀娜。内设多功能餐厅、茶楼、酒吧等经营设施，创造以湿地体验、湖滨观光、娱乐休闲和文化感悟为主的生态公园。“水调歌头”餐厅是迄今为止全国最大的单体木结构建筑，其精彩之处除考究的原木设计理念及纯中国味的各色摆设外，它的各色包厢的命名也赋予了浓浓的文化情结和小资情调，如“踏歌”、“寻梅”、“南浦”、“采莲”等词牌名。在“印象太湖”的新型湖畔享食空间里，人们享受到的不仅仅是美食，更多的是生活的另一种意境。美食终了，踏足亲湖的木栈道，轻移每一寸，都是对太湖渴望的实现。休憩于湖上的茶楼，品一壶清茶，遥赏午后恬淡的凌波湖色，是心灵最纯粹的释放，也是情感本真的凝固。太湖新天地内设的生态ＳＰＡ，可满足人们呼吸太湖、聆听太湖的愿望，ＳＰＡ的“味、色、觉”让人完全释放。不远处的“凭栏人”酒吧更是太湖新天地摩登的一笔，一支古巴雪茄、一杯法国葡萄酒让人铭记这里；而太湖新天地每一处细致与纯正，只为吸引来宾在太湖放松的心情。交通:乘58路公交车至蒯祥园站，下车后前行，或至水星游艇俱乐部站，下车后折返,,,5.0,,,,,9
惠山国家森林公园,http://travel.qunar.com/p-oi703668-huishanguojiasenlingong,,"惠山为天目山余脉、毗邻大运河、山顶三峰并立，蔚为壮观。主峰高328米，依次称为头茅峰、二茅峰、三茅峰，别称九龙山。又因山上多泉、故以""九龙十三泉""而名噪天下、素有""江南第一山""之誉。惠山国家森林公园现有五大景区，即石门景区、东大池景区、二茅峰景区、三茅峰景区、别赏植物景区。园内筑有一条宽6米、长624千米的盘山游览通道。直达山顶，山道两旁野花绽放，随风摇曳，与林木交相辉映，迎接远方的来客，惠山国家森林公园，莽莽森林恰似绿色的屏障，为无锡筑起一道绿色的墙。",,https://img1.qunarzz.com/travel/d4/1502/21/007389d0de03ea.jpg_480x360x95_fb722e5c.jpg,5.0,建议游览时间：1小时 - 3小时,四季皆宜。,,,9
晴雨操场,http://travel.qunar.com/p-oi717482-qingyucaochang,,荣巷中心小学内的晴雨操场鲁迅先生在1932年11月27日的日记中记曰：“午后往师范大学讲演。”说的是1932年深秋，已定居南方的鲁迅回到北京，来到北师大东南楼前花圃西侧的刘和珍、杨德群纪念碑前，缅怀自己的学生。那天，他在北师大发表了在北京所作5次讲演中规模最大、听众最多的一次讲演。由于听众达2000余人，北师大风雨操场无法容纳，只好移至露天广场。在很多文献中还配发了鲁迅先生那次演讲的照片。 之所以提起这段往事，是因为故事中提到了北师大那个简陋而且很小的风雨操场。...荣巷中心小学内的晴雨操场鲁迅先生在1932年11月27日的日记中记曰：“午后往师范大学讲演。”说的是1932年深秋，已定居南方的鲁迅回到北京，来到北师大东南楼前花圃西侧的刘和珍、杨德群纪念碑前，缅怀自己的学生。那天，他在北师大发表了在北京所作5次讲演中规模最大、听众最多的一次讲演。由于听众达2000余人，北师大风雨操场无法容纳，只好移至露天广场。在很多文献中还配发了鲁迅先生那次演讲的照片。 之所以提起这段往事，是因为故事中提到了北师大那个简陋而且很小的风雨操场。它使我想起了我们无锡还有那么一个同时代建造的、目前仍旧还在使用的、而且还与北师大的名字有着些许联系的“晴雨操场”。 “晴雨操场”其实是无锡人的叫法，顾名思义，就是晴天和雨天都能开展活动的操场。我觉得这个叫法比其他地方说的“风雨操场”更贴切。因为它的样子，就象一个超大型的亭子，上面有层挡雨遮阳的屋面，而四周除了柱子支撑屋面外，并没有挡风的墙。 无锡的晴雨操场座落在现在的荣巷中心小学（原公益小学）内，它建于1915年。据乡间老人讲，这个操场的建筑图纸来自于我国近代著名的水利专家、教育家胡雨人。荣巷中心小学内的晴雨操场，两层钢筋混凝土建筑，底层为礼堂，也可兼作操场使用。上层纯为操场。胡雨人是无锡堰桥人，早年曾东渡日本留学。回国后历任北京女子师范学堂（北师大前身）、江阴南菁中学、无锡公益工商中学、宜兴中学等校的校长。他在日本考察教育体制时，发现晴雨操场设施很适合作学校课间运动的场所，便绘下图式带回国内，以便适时推广。于是后来便有了的无锡公益小学的晴雨操场。 荣巷中心小学内的晴雨操场，占地约400平方米，呈“凹”字。操场为独特的两层钢筋混凝土建筑，底层为礼堂，也可兼作操场使用。上层纯为操场。孩子们在晴雨操场上面跳绳、踢毽子，不亦乐乎上层的操场没有围墙，减轻了建筑的重量，同时也增加了光亮。利用4根洋松木方大梁，营造出了330平米的室内大空间，体现了当时建筑的较高水平。据说本来想使用杉木作梁，可惜长达15米的杉木一时难以觅到，所以只能采用洋松。至于屋面弃瓦而使用马口铁皮，则是为了减轻自身重量。 晴雨操场建在荣氏私立学校内，荣氏家族财力雄厚，建筑的时候选用的当然都是上乘材料，水泥、杨松、钢筋和马口铁俱为进口。所以经过90年的风风雨雨，除了几年前的一次大风刮走了几张马口铁皮，南端两水泥楼梯因为地层下陷出现数处较大裂缝有碍安全被拆除外，建筑基本保持完好。那天去采访的时候，适逢下课铃响，孩子们在操场上面跳绳、踢毽子，不亦乐乎。2001年6月，国家文物评估组专家称：荣巷中心小学内的晴雨操场是国内仅存的仍在使用的早期室内体育活动场所。,,,5.0,,,,,9
盆景园,http://travel.qunar.com/p-oi719864-penjingyuan,,"盆景作为一种造型艺术,是我国优秀的传统艺术之一，是植物栽培技术和造型艺术的巧妙结合体，通过艺人的技巧，将大自然的树桩经过剪扎、摆布、修饰塑造出各种不同形式的盆栽。太湖花卉园园内建有约500平方米的盆景园，内有各类盆景十余种，是园内主要参观景点之一。同时，这里也是主要的植物造型群。",,https://img1.qunarzz.com/travel/d1/1704/4b/9ce6dd18570eb0b5.jpg_480x360x95_0a48842e.jpg,5.0,,,,,10
八角井,http://travel.qunar.com/p-oi719320-bajiaojing,,"在六角井不远的东侧，又有一口八角古井，其传说更为神奇。现在，除保持原址原貌外，还在井上加盖了一座石质通天亭，名为八角井亭。所谓通天亭，是指石亭亭顶中空，在亭内抬头可见苍天。八角井亭全部由经过雕刻的缙云石柱、石板镶砌而成，下面由八根刻有神龙的石柱支撑。亭顶呈八角形，中间透空，由石板拼装镶嵌而成，石板内侧刻有八仙的形象和其他花鸟的图案。亭顶八屋脊上刻有八条龙，龙头向外，朝向八个方向，体现了八角井里隐龙之说。""八角井亭""四字，系茗山长老所题。亭侧立碑...在六角井不远的东侧，又有一口八角古井，其传说更为神奇。现在，除保持原址原貌外，还在井上加盖了一座石质通天亭，名为八角井亭。所谓通天亭，是指石亭亭顶中空，在亭内抬头可见苍天。八角井亭全部由经过雕刻的缙云石柱、石板镶砌而成，下面由八根刻有神龙的石柱支撑。亭顶呈八角形，中间透空，由石板拼装镶嵌而成，石板内侧刻有八仙的形象和其他花鸟的图案。亭顶八屋脊上刻有八条龙，龙头向外，朝向八个方向，体现了八角井里隐龙之说。""八角井亭""四字，系茗山长老所题。亭侧立碑镌有《八角井记》，记载了关于八角井的传说，兹抄录如下：八角井，一名龙井，八角乃状其形。原为寺中香积厨汲水之源，深不可测。四众弟子皆谓其太湖，无论洪旱，水平如镜，不溢不涸。传井中隐镇湖之神青龙君，为完寺中老僧所愿，惩东海黄龙涂炭生灵之恶，遂飞身而出，与黄龙决一死战，大胜而还，居于井。井沿已崩坏，往昔之胜迹也。后人感念龙君，呼日龙井。有言乾隆每至寺中，必取井泉煮茗，民间称之为双龙会。祥符寺重修告竣，香江名媛翁丽莲女士捐资十八万元，建八角井亭，以彰龙德，勒石为记。八角井北侧有旧瓦房数间，是古祥符禅寺仅存的建筑。据说是当年寺内香积厨，里面已空无一物，但引水石槽等物，仍残存附近地下，现已发掘集中，作为古迹保存。",,,5.0,,,,,10
