名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
昭阳区守望乡宋家山,http://travel.qunar.com/p-oi39600117-zhaoyangqushouwangxiang,,,,,5.0,,,,,2
天坑群,http://travel.qunar.com/p-oi36293390-tiankengqun,"

地址:
昭通市镇雄县五德新寨村

",镇雄天坑溶洞群是云南特色旅游资源，集天坑、峡谷、河流、溶洞为一体，呈现奇、特、险、峻、秀等特点。它由近10个大小不一的天坑组成，这些天坑经地下溶洞和暗河相连，形成一个巨大的天坑溶洞群。五德天坑是天坑溶洞群的核心，站在现场俯瞰，赞叹大自然的鬼斧神工。有趣是里面还住着居民，他们过着世外桃源的生活，郁郁葱葱，饲养畜牧，自给自足，富有生活气息。里面还有喀斯特地貌，钟乳石巨大无比，巧夺天工。,全天,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
莲花山Lotus Mountain,http://travel.qunar.com/p-oi35762336-lianhuashan,"

地址:
昭通市绥江县

",莲花山展现出一种别样的风采，这里风光结构很丰富，山花、打粮农田，草地，构成了山的风景骨架，沉浸在各种山型造就的景色美之中，享受自然之美。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,3
困牛岩Kunniuyan Village,http://travel.qunar.com/p-oi35677450-kunniuyan,,,,,5.0,,,具体收费情况以现场公示为主,,4
困牛石,http://travel.qunar.com/p-oi35677309-kunniushi,,,,,5.0,,,具体收费情况以现场公示为主,,4
七个包包,http://travel.qunar.com/p-oi35676957-qigebaobao,,,,,5.0,,,具体收费情况以现场公示为主,,4
西部大峡谷Panoramic View of West Gigantic Gorge,http://travel.qunar.com/p-oi35198312-xibudaxiagu,,西部大峡谷位于云南省水富市，总长1300多公里， 它蜿蜒曲折，就像一条巨蟒匍匐在云贵高原之上。,,,5.0,建议游览时间：12小时 - 3天,,,,6
渔洞水库Yudong Reservoir,http://travel.qunar.com/p-oi32888237-yudongshuiku,,渔洞水库位于居乐河上，水库里养殖有很多种鱼类，水质清澈，主要用于防洪和灌溉。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7f0175510ad9fb37258a21a50fb643f3.jpg_480x360x95_3c9c02ff.jpg,5.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,6
振兴广场Zhenxing Square,http://travel.qunar.com/p-oi19977075-zhenxingguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,8
人民广场Renmin Square,http://travel.qunar.com/p-oi19972201-renminguangchang,,人民广场位于昭通市彝良县，广场上有很多健身器材供人们使用，是一个休闲散步的好地方。,,,5.0,建议游览时间：2小时,,,,9
云崖寺Yunya Temple,http://travel.qunar.com/p-oi19971308-yunyasi,,云崖寺是一座古庙，正殿是其主体建筑，墙上挂有几幅精美的壁画。红墙黄瓦，宁静肃穆。,,,5.0,建议游览时间：2小时,,,,9
六祖文化广场Liuzu Culture Square,http://travel.qunar.com/p-oi19971029-liuzuwenhuaguangchang,, 六祖文化广场是汇集了彝族文化，它聚集了各地的彝族文化，是川滇大通道上文化旅游的新景区，同时也是昭通城市建设具民族特色的地标性建筑。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/16baa3334e8604a2f3e3678a59b4e420.jpg_480x360x95_7ab37e11.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,10
清真古寺Qingzhengu Temple,http://travel.qunar.com/p-oi19970997-qingzhengusi,,清真古寺始建于清光绪十二年（公元1887年），历史悠久，建筑风格很有特色，是当地重要的宗教场所。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6a5db7767a12b0191ac5952ddc7d897f.jpg_480x360x95_b74f72c3.jpg,5.0,建议游览时间：2小时,,,,10
