名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
三友瀑布景区Sanyou Waterfall Sceneic Area,http://travel.qunar.com/p-oi19994560-sanyoupubujingqu,,三友瀑布景区位于元宝山密林深处，因其有3束落差约20米的水帘飞流直下，仿佛3个亲密朋友聚在一起而得名。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b47144209f353d4f3d383fabe580cc99.jpg_480x360x95_32711eb5.jpg,5.0,建议游览时间：3小时,,,,1
洛维观光园,http://travel.qunar.com/p-oi704781-luoweiguanguangyuan,"

地址:
广西柳州市南郊6公里处

",城市化进程促进了全球经济的发展，也带来了噪音喧嚣、交通拥挤、视野狭窄、绿地减少等一系列坏境问题，在繁闹中生活的市民逐渐认识到新鲜的空气、安静的环境、成片的森林、空旷的田野对自身的重要性。同时，随着家庭收入的富足、闲暇时间的增多、生活节奏的加快以及竞争的日益激烈，人们渴望多样化的旅游，尤其希望能在典型的农村环境中放松自己。于是，农业与旅游业边缘交叉的新型产业——“观光农业”应运而生，拓展了农业发展的新空间，开辟了旅游业发展的新领域，同时也为城市景观...城市化进程促进了全球经济的发展，也带来了噪音喧嚣、交通拥挤、视野狭窄、绿地减少等一系列坏境问题，在繁闹中生活的市民逐渐认识到新鲜的空气、安静的环境、成片的森林、空旷的田野对自身的重要性。同时，随着家庭收入的富足、闲暇时间的增多、生活节奏的加快以及竞争的日益激烈，人们渴望多样化的旅游，尤其希望能在典型的农村环境中放松自己。于是，农业与旅游业边缘交叉的新型产业——“观光农业”应运而生，拓展了农业发展的新空间，开辟了旅游业发展的新领域，同时也为城市景观的审美研究提出了全新的课题。“观光农业”是现代农业与历史人文景观、自然资源景观及其旅游资源融为一体的农业，是经济、社会与环境紧密结合的契入点。,全天,,5.0,,,20元,,3
九万山,http://travel.qunar.com/p-oi701849-jiuwanshan,"

地址:
广西柳州市

",九万山位于桂北黔南，核心区在广西融水苗族自治县三防镇、汪洞乡一带。九万山群峰连绵，总面积约1204平方公里，区域内有大面积元古代前震旦系地层出露，为广西区内出露的最古老的地层之一。由于不曾受第四纪冰川的严重破坏，加上受人为破坏较小，山里保存了许多古老和孑遗植物以及丰富的动植物化石。在很大程度上反映了广西北部森林原始自然本体。大山有高等植物共303科1237属3332种，种类约占广西全区高等植物的45%。,全天,,5.0,,,免费,,5
柳版九寨沟,http://travel.qunar.com/p-oi39172796-liubanjiuzhaigou,,,,,5.0,,,,,5
狼口泉,http://travel.qunar.com/p-oi37204431-langkouquan,,,,,5.0,,,具体收费情况以现场公示为主,,7
响水石林,http://travel.qunar.com/p-oi36411436-xiangshuishilin,,,,,5.0,,,具体收费情况以现场公示为主,,8
五星美食街,http://travel.qunar.com/p-oi36409467-wuxingmeishijie,,,,,5.0,,,具体收费情况以现场公示为主,,9
柳州市柳东百花岭,http://travel.qunar.com/p-oi36409145-liuzhoushiliudongbaihua,"

地址:
福城大道与车园横二路交叉口往东


电话:
0772-2673255

",柳东百花岭满山是花，不仅有马鞭草，还有郁金香，漫山花海肆意绽放，千亩望不到头，景色很美！,全年 09:00-17:00,,5.0,,,具体收费情况以现场公示为主,,9
百朋荷苑,http://travel.qunar.com/p-oi36405481-baipengheyuan,,,,,5.0,建议游览时间：2小时 - 3小时,,,,9
月也侗寨,http://travel.qunar.com/p-oi36172506-yueyedongzhai,"

地址:
柳州市三江县侗乡大道23号

",中国月也侗寨位于广西柳州市三江县侗乡大道23号，占地面积80亩，总投资约3亿元。侗寨内集美食、住宿、购物、娱乐、休闲、养生等功能为一体，设有哆协、飞梭、牛王、灵鹤、进堂、雁鹅等巷道；建有敬牛广场、月亮广场和月也鼓楼等主要活动场地，以及坐妹三江侗乡鸟巢、坐客三江盛宴堂、三江斗牛场等月也体验区。“月也”是侗族重要的非物质文化遗产之一，意为集体游乡做客，是侗乡的一种社交习俗。所以侗寨取名为：“月也侗寨”为推广侗族“月也”这项非物质文化遗产，广西旅游发展集团三江县志达旅游发展有限公司以“月也”为文化主题，聘请侗族民间巧匠，精心设计并建造了侗乡鸟巢、“月也”鼓楼、吊脚楼群、斗牛场、盛宴堂等侗族标志性建筑物；提炼“月也”活动精华，精心准备坐妹三江中国首部侗族风情大型实景演出、坐客三江百家宴、牛战三江牛王争霸赛等文化精品，全方位诠释侗族“月也”的文化内涵，让每一位到侗乡的客人沉浸在侗族的月也文化盛宴之中。可以毫不夸张地说：中国侗族在三江，三江风情在月也！,月也侗寨全天开放。 斗牛场开演时间14:00或15:30（不定时开放）。 坐妹第一场20:00，第二场21:45（不定场）。提前15分钟入场，演出时长75分钟左右。 常规每天1场演出，节假日或人多可能开2场。如开二场，第一场演出时间可能提前10-20分钟。,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/73d0adf544bcf9832c47b1da18a9238e.jpg_480x360x95_c5e196af.jpg,5.0,建议游览时间：3小时 - 4小时,,,,10
