名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
祖庵家菜文化园,http://travel.qunar.com/p-oi38905713-zuanjiacaiwenhuayuan,,湖南南浦文化旅游集团2014年开始联合湖南省湘菜产业促进会对祖庵家菜文化进行挖掘整理研发推广，注册了祖庵家菜商标，策划了历届祖庵家菜美食文化节，成立了湖南祖庵家菜电子商务公司，茶陵南浦祖庵家菜餐饮管理公司；通过互联网+旅游，为茶陵乡村旅游景区年地接游客近35万人次。获得了“一带一路优质餐饮供应商”荣誉；成为湖南省湘菜产业促进会副会长单位；株洲市旅游协会副会长单位；湖南省商业技师学院湘菜非物质文化传承研究中心实践基地；中国人寿保险公司高端客户文化体验基地；发起筹建了“祖庵家菜文化研究会”；建成了谭延闿纪念馆；支持湘菜之源高陇镇祖安村68户贫困户成立“茶陵祖庵家菜食材种养殖专业合作社”，建设了600亩食材种养殖基地，是湖南省非物质文化遗产传承基地、株洲市非遗扶贫工坊。祖庵家菜向品牌化、连锁化、专业化、产业化方向发展，助推茶陵发展全域旅游。祖庵家菜文化园位于茶陵县高陇镇谭延闿故居，园区总规划面积100亩，祖庵荷花池民宿；“光菜互补”采摘园；孝道亭；忠贞亭；耕读亭；游步道；旅游公厕；生态停车场；自来水、电力设施、电信网络、山塘防渗等。祖庵美食文化品鉴、祖庵家菜厨艺培训、美食文化节主会场、游客接待等于一体。,,,5.0,,,,,4
石峰公园,http://travel.qunar.com/p-oi38023420-shifenggongyuan,"

地址:
湖南省株洲市石峰区建设北路651号

",石峰公园位于湖南省株洲市北部石峰区。本单位是国有企业事业单位。石峰公园地处商业区与工业区交界处，东靠市区主干道，南临湘江，占地153公顷，主峰海拔167.38米，相对高度120米。山虽不高，但错落有致，或平缓，或陡峭，被誉为新城 “绿宝石”。公园建有“清心斋”、“听月亭”、“松涛廊”、“望江亭”、“寻梦山庄”等散点园林小品。此外，园内长达1500米，由40余组碑石组成的碑林路也形成了公园极富雅趣、翰墨飘香的人文景观。,全年 08:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,,,4
左家老屋,http://travel.qunar.com/p-oi37199016-zuojialaowu,,,,,5.0,,,,,5
逗霸街,http://travel.qunar.com/p-oi37198047-doubajie,,,,,5.0,,,具体收费情况以现场公示为主,,5
栗雨休闲谷,http://travel.qunar.com/p-oi37189391-liyuxiuxiangu,"

地址:
株洲市天元区天元区政府旁

",,全年 10:00-09:30,,5.0,,,,,6
致乐谷Zhile Valley,http://travel.qunar.com/p-oi35832802-zhilegu,,,,,5.0,,,具体收费情况以现场公示为主,,6
清水湾畔Clear Water Bay,http://travel.qunar.com/p-oi35832498-qingshuiwanpan,,,,,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,6
茶乡花海景区Chaxianghuahai Sceneic Area,http://travel.qunar.com/p-oi34941699-chaxianghuahaijingqu,,茶香花海北靠云阳山国家森林公园，南临一汪清澈的望水湖。从山脚沿着蜿蜒曲折的小径而上，碧空下那片被山水拥抱、五彩缤纷的茶乡花海便映入眼帘。当还来不及为这极等的秀美而呼喊时，那迎面吹来的带着花香的习习微风，让激动不已的心更加兴奋。,,,5.0,建议游览时间：2小时 - 3小时,,68元,,9
醴陵南四区苏维埃革命纪念馆Liling Nan Si Qu Suwei'ai Geming Memorial Hall,http://travel.qunar.com/p-oi34274103-lilingnansiqusuweiaige,"

地址:
醴陵市明月镇白果社区居委会

",,全年 周二-周日 8:00-17:30,,5.0,,,免费,,9
神农谷溪水瀑布Shennongguxishui Waterfall,http://travel.qunar.com/p-oi32749095-shennongguxishuipubu,"

地址:
株洲市炎陵县067县道西200米

",该瀑布呈三叠下泻，落差大，如银河倾泻，气势磅礴。瀑布顶上还有一座石拱桥，造型古朴凝重，和瀑布的潇洒风姿形成鲜明对比。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/858b761d8a30c327d1fe16e11faf8f83.jpg_480x360x95_968ee9a7.jpg,5.0,建议游览时间：3小时,,,,9
