名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
迎龙楼,http://travel.qunar.com/p-oi718436-yinglonglou,"

地址:
广东省江门市开平市赤坎镇三门里村迎龙楼

",迎龙楼坐落在开平市赤坎镇三门里村，东距开平市区6公里，是开平市现存最早的碉楼，为关氏家族所建。三门里村建于明朝正统年间（公元1436-1449年），地处潭江下游冲积平原，是一片芦苇丛生、水鸟群集的低洼之地，洪涝不时地威胁着村民的生命财产安全。明朝嘉靖年间（公元1522-1566年），关氏十七世祖关圣徒夫妇献出家庭积蓄，建起了迎龙楼。迎龙楼坐西北向东南，占地面积152平方米，建筑面积456平方米，砖木结构，楼高3层11.4米，为全村制高点。第1、2层为明朝大型红泥砖砌筑，红砖规格...迎龙楼坐落在开平市赤坎镇三门里村，东距开平市区6公里，是开平市现存最早的碉楼，为关氏家族所建。三门里村建于明朝正统年间（公元1436-1449年），地处潭江下游冲积平原，是一片芦苇丛生、水鸟群集的低洼之地，洪涝不时地威胁着村民的生命财产安全。明朝嘉靖年间（公元1522-1566年），关氏十七世祖关圣徒夫妇献出家庭积蓄，建起了迎龙楼。迎龙楼坐西北向东南，占地面积152平方米，建筑面积456平方米，砖木结构，楼高3层11.4米，为全村制高点。第1、2层为明朝大型红泥砖砌筑，红砖规格为33×15×8厘米，墙厚93厘米，为明代原构。民国九年（公元1920年）用青砖加建了第3层，开窗比第2层大，楼面为木梁板结构。楼的四角各有一个落地式塔楼，塔楼的第2、3层开设了射击孔，楼顶为传统硬山顶式，风格拙朴，造型简洁。 在中国，龙是吉祥的象征，楼名为“迎龙”是期望它给村民带来平安、好运、幸福。迎龙楼建成后，在保护民众避免了洪涝和盗匪的侵袭起了其应用的作用。迎龙楼方形的建筑形体没有受到外来因素的影响，是开平碉楼传统最原始的模式。,全天,https://img1.qunarzz.com/travel/poi/1409/09/884bd6e23bb8facfffffffffc8d65eac.jpg_480x360x95_4728d059.jpg,5.0,建议游览时间：0.5小时,四季皆宜。,,,2
北峰山国家森林公园,http://travel.qunar.com/p-oi712002-beifengshanguojiasenlin,,北峰山国家森林公园位于中国第一侨乡台山市的东北部，古兜山的崇山峻岭之中，紧连古兜山省级自然保护区。距广州市130公里、江门市58公里、台山市区12公里。与有着“东方夏威夷”之称的上川飞沙滩省级旅游区合称为台山地区“一山一水”著名风景名胜区。主峰瓶身峰海拔高度922米，外貌酷似日本富士山，被誉为“台山富士山”。公园内保存着大量的南亚热带季风常绿阔叶林，是珠江三角洲最南端不可多得的一片绿洲。这里旅游资源丰富，珍稀动植物种类繁多，山青水秀，层林叠翠，山环水抱。...北峰山国家森林公园位于中国第一侨乡台山市的东北部，古兜山的崇山峻岭之中，紧连古兜山省级自然保护区。距广州市130公里、江门市58公里、台山市区12公里。与有着“东方夏威夷”之称的上川飞沙滩省级旅游区合称为台山地区“一山一水”著名风景名胜区。主峰瓶身峰海拔高度922米，外貌酷似日本富士山，被誉为“台山富士山”。公园内保存着大量的南亚热带季风常绿阔叶林，是珠江三角洲最南端不可多得的一片绿洲。这里旅游资源丰富，珍稀动植物种类繁多，山青水秀，层林叠翠，山环水抱。幽深的峡谷山涧，溪中流水奇石千姿百态。山涧瀑布飞溅，鸟飞婵鸣，花色满园。登上台山富士山--瓶尖峰，五邑秀丽景色，辽阔的南中国海尽收眼底。走进大森林，南亚热带常绿阔叶林和沟谷雨中的板根、藤本、绞杀、附生和茎花茎果等现象无不给人以生命的启示。花、果、山、林、石、溪、藤、瀑形成八大特色，那“世外桃源”般的仙境令人回归自然，返璞归真，留连忘返，是都市人远离喧闹与嘈杂的城市，开展科普教育、漂流探险、旅游观光、疗养避暑、休闲度假和投资不可多得的宝地。,,,5.0,,,,,3
仙鹤湖度假山庄,http://travel.qunar.com/p-oi703562-xianhehudujiashanzhuang,,仙鹤湖，一颗西江之畔的璀灿明珠！她是广东艾琳集团下属的一个集三星级宾馆、半山豪华别墅、桑拿、卡拉O K、全循环游泳池、大型园林垂钓场、烧烤场、康体城、美容美发中心、登山野营等于一体的大型综合旅游度假山庄，享有“一派湖光山色，万种人间风情”的美誉。来到仙鹤湖，你会感到她的静，没有一点声响，宛若出浴少女，一脸羞涩、清纯、温柔、秀色可餐。令你情不自禁掬起一捧，吻到脸上，体验她的清纯。 连绵起伏的青山，云雾潦绕，隐隐透过些蓝天来――似梦。湖面雾气氤氲，万物都...仙鹤湖，一颗西江之畔的璀灿明珠！她是广东艾琳集团下属的一个集三星级宾馆、半山豪华别墅、桑拿、卡拉O K、全循环游泳池、大型园林垂钓场、烧烤场、康体城、美容美发中心、登山野营等于一体的大型综合旅游度假山庄，享有“一派湖光山色，万种人间风情”的美誉。来到仙鹤湖，你会感到她的静，没有一点声响，宛若出浴少女，一脸羞涩、清纯、温柔、秀色可餐。令你情不自禁掬起一捧，吻到脸上，体验她的清纯。 连绵起伏的青山，云雾潦绕，隐隐透过些蓝天来――似梦。湖面雾气氤氲，万物都被那温润的柔情浸润得柔软了。仿佛连人站着的石头，身边的草和运山的树进取可以像水一样任人揉捏，远远望去，湖心的小岛林木茂盛，如同浮在水面的一方地毯，显得厚实而柔软。“美丽总是惹人的”，自然之美同样也是惹人的。一只蝴蝶、一抹晚霞、一叶小舟、一行白鹭，都会令人感动无语。 倚湖而建的人仙鹤山庄：绿荫掩映、鸟语花香、小桥流水、锦鲤腾欢；绿茵草地、古榕婆娑；山泉泳池、泉水潺潺.这里没有都市灰蒙蒙的天空、川流不息的车流、脚步匆匆的路人。抛开忙碌的工作、烦心的锁事、甩开城市繁嚣，与蓝天白云对话、与风拥抱，携妻带子、呼朋唤友，在山水田园之中自由自在享天伦之乐。投身碧波荡漾的游泳池畅游，细细品尝美味佳肴，使全身的每一寸肌肤都完全放松，与家人和朋友共享美好时光。 有空和朋友外出游玩、散心，可千万别错过鹤山仙鹤湖山庄这个独特的度假胜地,,,5.0,,,,,4
岳王庙,http://travel.qunar.com/p-oi722966-yuewangmiao,,是历代纪念民族英雄岳飞的场所。是中国现存仅有的四大岳王庙之一。岳飞是南宋初抗击金兵的主要将领， 但被秦桧、张俊等人以“莫须有”罪名诬陷为反叛朝廷，陷害至死。此庙是中国仅存的四座岳王庙之一，游人进岳庙参观，头门是一座二层重檐建筑，巍峨庄严，正中悬挂“宋忠武庙”四字竖匾，两旁古木参天。大殿正中是彩色3．5米的岳飞塑像，身着紫色蟒袍，臂露金甲，显示了武将的英雄气概。殿两面壁上写的“精忠报国”四个大字。入庭园，南北各有吕祖殿、观音殿。庙前有一个石铸人像，反...是历代纪念民族英雄岳飞的场所。是中国现存仅有的四大岳王庙之一。岳飞是南宋初抗击金兵的主要将领， 但被秦桧、张俊等人以“莫须有”罪名诬陷为反叛朝廷，陷害至死。此庙是中国仅存的四座岳王庙之一，游人进岳庙参观，头门是一座二层重檐建筑，巍峨庄严，正中悬挂“宋忠武庙”四字竖匾，两旁古木参天。大殿正中是彩色3．5米的岳飞塑像，身着紫色蟒袍，臂露金甲，显示了武将的英雄气概。殿两面壁上写的“精忠报国”四个大字。入庭园，南北各有吕祖殿、观音殿。庙前有一个石铸人像，反剪双手，面墓而跪，即陷害岳飞的主某秦桧，村里人说“不打秦桧、拜岳不灵”。,,,5.0,,,,,4
江门渔家风情园Jiangmen Fishermen's Garden,http://travel.qunar.com/p-oi708114-jiangmenyujiafengqing,"

地址:
新会区围垦银湖湾三龙桥

",,全年 全天开放,https://img1.qunarzz.com/travel/poi/1604/89/adb9e770f5b533f7.jpg_480x360x95_66292a92.jpg,5.0,,,具体收费情况以现场公示为主,,5
江门儿童公园-梦主题游乐区,http://travel.qunar.com/p-oi38807415-jiangmenertonggongyuan,,江门儿童公园-梦主题游乐区内的游乐项目很多，有丛林穿梭、勇者之坡、丛林探险、秋千群岛、漫步云端和天空之城等，非常适合带孩子来玩。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
陈皮古道,http://travel.qunar.com/p-oi38607420-chenpigudao,,,,,5.0,,,具体收费情况以现场公示为主,,9
青山咀,http://travel.qunar.com/p-oi38344192-qingshanju,,,,,5.0,,,,,9
彩虹村,http://travel.qunar.com/p-oi38337287-caihongcun,,,,,5.0,,,具体收费情况以现场公示为主,,10
佛恩寺,http://travel.qunar.com/p-oi38335724-foensi,,佛恩寺是新修扩建的寺庙，占地面积大，背面都是山，环境清幽。,,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,10
