名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东北神学院,http://travel.qunar.com/p-oi36216001-dongbeishenxueyuan,,东北神学院位于华夏民俗村内，这里景色优美，一到秋天，造型奇特的“古木”枝藤蔓绕，远处的教堂，悬空的“树屋”，眼前的红枫、黄叶和绿树，这些都让人仿佛置身于仙境中。,,https://flight-feed.qunarzz.com/as3/450/image/2022/12/055dfa7a-776f-4192-8352-a711129cdb0c.jpeg_480x360_1403c35e.jpeg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
融IN·BOX集装箱小镇,http://travel.qunar.com/p-oi37805785-ronginboxjizhuangxiang,, 融IN·BOX集装箱小镇位于沈阳市和平区，是由各种颜色的集装箱打造而成，是一个包含了电竞体验、街头秀场、主题餐饮、儿童娱乐、共享办公、主题民宿、特色小吃、汽车影院等多元化、多业态的文化商旅融合特色小镇。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
彩电塔夜市,http://travel.qunar.com/p-oi36227925-caidiantayeshi,"

地址:
沈阳市沈河区南一经街

",彩电塔夜市位于辽宁省沈阳市沈河区南一经街，靠近沈阳的地标建筑彩电塔而闻名，至今已经有20多年。一排排红色的仿古小房子看着很喜庆，这些都是夜市商户们的餐车，小吃种类多经济又实惠。,全年 17:30-23:59,,5.0,建议游览时间：3小时,,,,1
三利生态农业观光园,http://travel.qunar.com/p-oi722441-sanlishengtainongyeguan,"

地址:
沈阳市新城子区马刚乡曾家沟村

",沈阳三利国家2A及生态农业示范园始建于1998年9月，园区目前占地1500亩，其中生态农业种植区460亩绿色生态养殖区占地110亩，生态观光森林区500亩，度假区占地430亩，园区柏油路面总长1.2公里，水泥及彩砖路面1100米，沙石路面2.6公里。园区以生态农业旅游观光度假为主，到目前为止，生态农业观光形成了以葡萄园为中心，有绿色蔬菜园、鹿园、松园、鱼池、绿色生猪、笨鸡饲养场，绿色植物长廊，观景珍禽园等九大观赏采摘区。,全天,https://img1.qunarzz.com/travel/poi/1604/81/9ba5293776aa7ef7.jpg_480x360x95_143d5994.jpg,5.0,,,免费,,3
怪坡东北虎园,http://travel.qunar.com/p-oi7647124-guaipodongbeihuyuan,"

地址:
沈阳市沈北新区杭州路83-3号怪坡风景区内 

",,8:00-17:00,https://img1.qunarzz.com/travel/d3/1801/fa/5e1158b2165c09b5.jpg_480x360x95_51475fda.jpg,5.0,,,,,4
白清寨乡Baiqingzhai Township,http://travel.qunar.com/p-oi707367-baiqingzhaixiang,"

地址:
白清寨乡广福路200号

",白清寨乡山峦叠翠，交通便利，空气清新，景色优美。白清寨乡内有沈阳水洞等有名景点，是您休闲度假、团建的好地方。,"夜滑开放时间,17:00—22:00",,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
绿岛,http://travel.qunar.com/p-oi722452-lu:dao,"

地址:
辽宁沈阳南部的苏家屯区佟沟等乡镇

",绿岛森林公园坐落在有“东方鲁尔”之称的沈阳东南，依山带湖，占地33万平方米，平均海拔86米，湖水2万平方米，草坪3万平方米，森林覆盖率达70%以上。环境优雅，气候宜人。旅居此地，可晨观朝日彩霞喷薄于东方，暮鉴夕阳瑞霭耀金于西湖；冬抒雪积松柏之壮怀，夏绘风拂稻菽之图画。回归自然，远离尘世喧嚣，风水宝地，占尽龙脉之优，独享尊贵，超越王公贵族华丽豪迈之气概。绿岛森林公园毗邻桃仙国际机场，位于沈本高速公路桃仙出口，沈本铁路北侧，交通便利，四通八达。可北衢蒙俄商旅...绿岛森林公园坐落在有“东方鲁尔”之称的沈阳东南，依山带湖，占地33万平方米，平均海拔86米，湖水2万平方米，草坪3万平方米，森林覆盖率达70%以上。环境优雅，气候宜人。旅居此地，可晨观朝日彩霞喷薄于东方，暮鉴夕阳瑞霭耀金于西湖；冬抒雪积松柏之壮怀，夏绘风拂稻菽之图画。回归自然，远离尘世喧嚣，风水宝地，占尽龙脉之优，独享尊贵，超越王公贵族华丽豪迈之气概。绿岛森林公园毗邻桃仙国际机场，位于沈本高速公路桃仙出口，沈本铁路北侧，交通便利，四通八达。可北衢蒙俄商旅，东携韩日友邦，西循长城而览中原风物，南出渤海可越欧美重洋。近联辽宁腹地城市群，鞍山、抚顺、辽阳、本溪环顾如邻，大连、丹东、营口颉首相望。瞻白山黑水，襟鱼米之乡。绿岛森林公园汇数十建筑艺术大师智慧之精萃，融千年中土欧陆设计风格于一炉，一期工程建筑6万余平米，集居住、休闲、商务功能于一体，形成六大建筑群。登高而望，亭台楼宇，湖光山色，茂林碧草尽收眼底。绿岛庄园中世纪欧式别墅点缀于茵茵草坪之上，甬道牵花，红瓦涂朱，白墙如雪掩映于绿树丛中，选型美伦美奂，超前设计实用优越。绿岛国际俱乐部与绿岛体育中心，再造欧洲上流社交生活，是高雅体育运动与休闲娱乐的时尚总汇。体育中心巍峨雄壮，长桥飞架，与绿岛国际俱乐部会馆横空相连；会馆塔楼高耸，跃动升华的图腾。五星级超豪华的绿岛假日酒店，为杰出的人物营造了更高品质的活动环境，铺陈了与其身份相配的社交网络。高雅气质与超俗品味兼备，增添了时尚需求与现代化特色。社区服务中心系统完备，保障功能强大。六大建筑群循山势而有高低起伏，沿地形而呈鳞次栉比，星栏斗拱，摩云戟天。室外运动休闲场所星罗棋布：马上运动练习场宽阔坦荡、高尔夫球场高贵幽雅，网球场、射击场、羽毛球场、钓鱼场、森林浴场精彩纷呈。公园占地80多万平方米，建筑面积8万多平方米，湖水面积6万多平方米，森林覆盖率70%。沈阳绿岛森林公园按国际五星级酒店标准建设，主要设施有森林浴场、钓鱼场、跑马场、赛狗场、高尔夫球练习场、网球馆、游泳馆、健身馆、保龄球馆、国际会议厅、音乐厅、展示厅、中西餐厅、夜总会、啤酒屋、标准客房、公寓式客房、豪华别墅等。　　沈阳绿岛森林公园致力于提供高品质生活空间，创造欢乐、祥和的人文环境。　　绿岛之夜　　绿岛国际会议厅—具有五声道同声传译系统的绿岛国际会议厅在声学、光学及环境心理学的设计和应用上不是一流——而是最好的。　　绿岛保龄球馆—独具匠心的场馆配置，将使您真正感受到绅士风范。 绿岛游泳馆—采用美国HORNER DISCUS水处理系统，水温恒定在28度，池水每四小时完成一次循环、过滤、消毒过程-您的健康在这里得到保证。　　绿岛高尔夫会馆—在寒冷的冬季，您仍将领略到高尔夫的神韵—绿岛室内高尔夫球场。 绿岛宴会厅—在容纳380位坐席的宴会厅景观窗前，您将一览绿岛全景。,全天,,5.0,,,10元,,5
仙子湖风景区,http://travel.qunar.com/p-oi709056-xianzihufengjingqu,"

地址:
沈阳新民市当堡镇境内


电话:
024-87632499

",仙子湖风景旅游度假区位于沈阳市区西45公里处的新民市前当堡镇境内。仙子湖风景旅游度假区内湖水清澈、翠鸟翱翔、荷花映日、芦苇茫茫，以4000亩百年野生荷花著称（联体面积居全国之首），极具江南水乡之风韵，被命名为“中国荷花之乡”，多年来，仙子湖一直以它的恬静、优美的自然风韵倍受人们的青睐，游人或漫步湖堤，或泛舟湖上，一览“一湖碧水半是花”的景象，总会心旷神怡，陶醉其间。仿佛身心净化，得到回归自然的欣慰和满足。仙子湖风景旅游度假区景点：　　1.六曲桥：沈阳仙子...仙子湖风景旅游度假区位于沈阳市区西45公里处的新民市前当堡镇境内。仙子湖风景旅游度假区内湖水清澈、翠鸟翱翔、荷花映日、芦苇茫茫，以4000亩百年野生荷花著称（联体面积居全国之首），极具江南水乡之风韵，被命名为“中国荷花之乡”，多年来，仙子湖一直以它的恬静、优美的自然风韵倍受人们的青睐，游人或漫步湖堤，或泛舟湖上，一览“一湖碧水半是花”的景象，总会心旷神怡，陶醉其间。仿佛身心净化，得到回归自然的欣慰和满足。仙子湖风景旅游度假区景点：　　1.六曲桥：沈阳仙子湖有万亩水面，湖中有50万平方米的湖心岛，连接湖岸和小岛的是一座长260米、宽2米的木制曲桥。此桥六曲三亭一拱，因此被称为六曲桥。站在桥上你可以远望千亩荷塘。　　2.荷塘：荷香缕缕、扑面而来、吐纳之间，你会觉得吸引进来的气都是香的，你会领悟“雨跃荷香，神清气爽”的韵意。莲叶硕大如盖，微风拂过，掀起碧浪层层。这便是仙子湖的荷塘景致。　　3.芦荡迷宫：仙子湖的湖中有岛，在岛的东侧的芦苇荡间，掩映着300米长的芦苇迷宫。在这里，你可以感受到《二泉映月》的阿炳、苏武和羊群。在这里，你能独享那份返朴归真的甘怡之美。　　4.关帝庙：关帝庙位于湖中岛的中心，此庙是清光绪二十八年章京堡子村的关帝庙的复修庙宇，庙内有关帝圣君、土地神、龙王等神像。　　5.湖中佛国：仙子湖有佛像，有佛园，在佛园里可以看见“释迦牟尼”、“十八罗汉”，还有“大肚弥勒佛”。所以你若能在佛主们神秘而超然的笑容里达到宠辱俱忘的境界，哪怕只有一刻呢，那么即使你无“佛根”，修不成“正果”，能有一颗“佛心”做个善人也很好了。　　6.游船码头：欲想畅游沈阳仙子湖，就少不了乘坐快艇或亲自荡桨划舟。仙子湖风景旅游度假区的游船码头为游客提供了各总各样的旅游船，当你乘船行驶在湖面那一刻，你才能真正的领悟到什么是洒脱，什么是超越。　　7.钓鱼场：仙子湖钓鱼场长800余米，可同时容纳400人垂钓。湖中天然野生鱼类丰富，主要的鱼类有鲤鱼、青鱼、草鱼、黑鱼、鲢鱼等。当你静坐在岸边，凝神垂钓，那周边的美好景致，水中欢快的鱼儿以及飘来的荷香，定然使您心旷神怡，流连忘返。　　8.世南书画苑：世南书画苑是集新民及外地名家和文人雅士之墨宝的人文景观，现已篆刻成碑100多块，供游人观赏品味。　　9.永宁寺：永宁寺位于关帝庙后身，内有佛殿神阁；炎帝、黄帝、释迦牟尼等神位。让每一位游人除观赏精湛的雕刻艺术之外，更能领略一次民族精神和外域风情，净化一次心灵。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1567517687be58c638adae5cc6725dfd.jpg_480x360x95_842f73f9.jpg,5.0,,,75元,,5
叶茂台辽墓Yemaotai Liao Dynastic Tombs,http://travel.qunar.com/p-oi706997-yemaotailiaomu,"

地址:
沈阳市法库县叶茂台村西北和北山的山坡


电话:
25553725

",叶茂台辽墓群位于法库县叶茂台村西北和北山的山坡，是辽丞相萧义及其家族的墓群。墓的型制多样，文物丰富，对研究辽代历史和契丹民族习俗有重要意义。叶茂台辽墓群辖制秀水河烈士陵园、獾子洞水库两个景点。叶茂台辽墓群旅游景区，按其墓葬分布、地理位置、景观特点划定三个各俱特色的游览景区。,"8:30-18:00,18:00停止入场。",https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/df6885917f64835875e56d6d2c545b7c.jpg_480x360x95_99595285.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,6
汤悦汇汤泉,http://travel.qunar.com/p-oi39611309-tangyuehuitangquan,,"汤悦汇汤泉倾力打造以“城市度假”为概念的轻奢生活方式品牌,环境新颖、融色、藏奢、简约时尚现代风格。于细节、卓于内涵的汤悦汇让洗浴文化成为未来生活的必需品，成为都市休闲时尚潮流地标。总营业面积12000平方米，地处沈阳市于洪区赤山路55号，交通便利，顷刻可至，可容纳千人同时消费。内设洗浴、户外汤泉、亲子儿童戏水、淘气堡、汗蒸、茶舍、书吧、竞技馆、星空窑洞、玻璃栈屋、康体SPA、主题餐厅、休息厅、棋牌室、客房等一站式品质休闲娱乐微度假体验。",,,5.0,,,,,6
夏翠园,http://travel.qunar.com/p-oi39524954-xiacuiyuan,,,,,5.0,,,,,7
花间道运动公园,http://travel.qunar.com/p-oi39366310-huajiandaoyundonggong,,,,,5.0,,,,,7
沈阳小南天主教堂,http://travel.qunar.com/p-oi39171857-shenyangxiaonantianzhu,,,,,5.0,,,,,8
满州灵庙旧址,http://travel.qunar.com/p-oi38940161-manzhoulingmiaojiuzhi,,,,,5.0,,,,,9
