名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
红龙湖公园,http://travel.qunar.com/p-oi711255-honglonghugongyuan,"

地址:
泸州市古蔺县城北部

",红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上...红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上下一片绿色的海洋，使人心旷神怡；隆冬季节，这里银装素裹，白雪皑皑，玉树琼花，一派北国风光，独特的南方雪景，更令人心醉神迷。离红龙湖三公里处的虎头山，地形险要，景观奇特，可观日出、云海；湖区舍身岩下的白水湖景区形势险峻，奇景众多，与正在实施的龙爪河引水工程连为一体，形成十里长湖，成为川南最具特色的避暑、度假、旅游的理想圣地。,7:30-18:30,,5.0,,,8元,,2
海潮湖,http://travel.qunar.com/p-oi701548-haichaohu,"

地址:
四川泸州市江阳区

",川南海潮湖旅游区，它离泸州城约20公里，沿泸州――自贡公路而行，沿途风光绮丽．海潮湖总面积约18平方公里，其中有泸州最大的水力发电站，百年桂元林，米溪沟支流风景区等。川南海潮湖旅游区，石刻华表大门，古今名家题辞，盈入眼帘；山庄旅舍、宾馆楼群，则环绕于湖岸；湖两岸繁花异木、水草青青、绿树丛丛、鸟语阵阵；沿湖的水上长廊，盘旋蜿蜒；崖边栈道，曲折通幽；洞中探险，引人入胜；玲珑拱桥，长虹卧波，各式各样的景点，使人如在梦中，如醉如幻，流连忘返。,全天,,5.0,,,40元,,2
玉龙湖,http://travel.qunar.com/p-oi715902-yulonghu,,玉龙湖风景区位于泸县东部立石镇、毗卢镇境内，原名三溪口水库，占地13平方公里，其中水面6平方公里，南北长25公里，蓄水2510立方米，灌田10万亩，年起水成鱼300多吨。玉龙湖地理位置极佳。处在重庆、内江、泸州三角区中，泸永公路旁，幅射面宽、交通方便。,,https://img1.qunarzz.com/piao/fusion/1802/ce/82e24ec298c9ac02.jpg_480x360x95_13031a42.jpg,5.0,,,,,2
三华山风景区Mt. Sanhua Scenic Resort,http://travel.qunar.com/p-oi713948-sanhuashanfengjingqu,"

地址:
纳溪区长江北岸8公里

",,全年 8:00-17:30,,5.0,,,,,2
钟鼓楼,http://travel.qunar.com/p-oi706442-zhonggulou,,"泸州钟鼓楼位于泸州城区北部。高20米，4层砖结构，楼顶5个尖塔，底呈正方形，边长6.45米，明嘉靖十六年（1537）泸州兵备佥事薛甲主持修造，主要作报时、报警之用。1927年，邑人税西恒向德国西门子公司购回大型自鸣钟4座，在顶楼4面安装，指针同时转动，自动报点，声及远郊。现环绕钟鼓楼建小游园,面积2100平方米，投资900多万元，有绿地、园林小品、小型喷泉等。",,https://img1.qunarzz.com/piao/fusion/1604/c1/702f7bbebfae5af7.jpg_480x360x95_2cfc87d4.jpg,5.0,,,,,3
金龙寺,http://travel.qunar.com/p-oi38887923-jinlongsi,,,,,5.0,,,具体收费情况以景区公示为准,,5
龙洄庄园,http://travel.qunar.com/p-oi38340675-longhuizhuangyuan,,,,,5.0,,,具体收费情况以现场公示为主,,5
泸州市植物园,http://travel.qunar.com/p-oi38336659-luzhoushizhiwuyuan,,泸州市植物园内有李子，桃子，石榴等植物，还有荷塘，小桥，亭子，绿植茂盛，景色优美。人们在这里下棋，唱歌，非常放松惬意。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
北城夜市,http://travel.qunar.com/p-oi37805901-beichengyeshi,"

地址:
迎晖路1号

",,全年 10:00-00:00,,5.0,,,具体收费情况以现场公示为主,,6
双龙幽谷瀑布景区,http://travel.qunar.com/p-oi37534660-shuanglongyougupubujing,"

地址:
四川省泸州市合江县自怀镇文明村老挖沟自怀风景名胜区内


电话:
13982721508

",双龙幽谷位于合江县自怀风景名胜区内，这里森林茂密，原始古朴，丹岩密布，飞瀑处处，天然资源非常丰富，有植物千余种：木银杏、桫椤、银杉、水杉、红豆杉、掌秋等，有动物上百种，灵猫、云豹等常有出现，被专家们誉为动植物基因库。适合徒步+耍水+观景，一路吸氧吸到饱！,全年 08:00-17:00,,5.0,建议游览时间：1小时 - 3小时,,,,6
