名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
滇中植物园Dianzhong Botanical Garden,http://travel.qunar.com/p-oi19494276-dianzhongzhiwuyuan,,"滇中植物园位于玉溪，园内种植了大量的花卉，有金盏菊、美女樱和薰衣草，每当鲜花盛开时，红色、黄色和紫色的花儿随风摇曳，格外迷人，非常适合拍照。
",,,5.0,建议游览时间：3小时,,,,1
金山原始森林,http://travel.qunar.com/p-oi7469556-jinshanyuanshisenlin,,属森林生态系统类型自然保护区。山顶部的森林是目前中国保存面积最大的中山湿性常绿阔叶林。走进大山深处的古道，浓密的树叶遮住烈日，明媚的天色被绿荫映衬得黯淡下来。千年古木粗大的树干上，结着厚厚的青苔，毛茸茸的如长出的胎毛，告诉着人们，这些树还处于大自然的襁褓中。最舒服的除了呼吸富含丰富负氧离子的空气外，就是脚下的松软感，如同走进铺满厚厚羊毛地毯的房间一般，软软的、柔柔的。如果不是见到地上松软落叶上挂着的水珠，真想仰面躺下，沉醉在这绿色怀抱中，透过斑驳...属森林生态系统类型自然保护区。山顶部的森林是目前中国保存面积最大的中山湿性常绿阔叶林。走进大山深处的古道，浓密的树叶遮住烈日，明媚的天色被绿荫映衬得黯淡下来。千年古木粗大的树干上，结着厚厚的青苔，毛茸茸的如长出的胎毛，告诉着人们，这些树还处于大自然的襁褓中。最舒服的除了呼吸富含丰富负氧离子的空气外，就是脚下的松软感，如同走进铺满厚厚羊毛地毯的房间一般，软软的、柔柔的。如果不是见到地上松软落叶上挂着的水珠，真想仰面躺下，沉醉在这绿色怀抱中，透过斑驳缝隙看着阳光穿过林间，凝听着鸟儿歌唱，深切感受鸟鸣山更幽的意境。,,https://img1.qunarzz.com/travel/poi/1408/27/bdb0beba81740a4effffffffc8d65eac.jpg_480x360x95_7b38ad68.jpg,5.0,,,,,1
红塔,http://travel.qunar.com/p-oi708605-hongta,"

地址:
云南-玉溪红塔区东南2千米红塔山

",红塔位于红塔区东南2千米红塔山上。经塔原为白塔，始建于元代，清道光十九年（1839年）重建。塔身用青石支砌，内填土，为密檐式结构七方八级实心塔。塔高35米，阁楼式的逐级往上收缩，西面五、六、七级各有一佛龛，每龛内置有铜佛像1尊。1958年塔顶置一五角红星，以紫土涂红塔身，并将宝鼎、铜佛拆除。从此，白塔改为红塔，山亦称红塔山。1986年6月玉溪卷烟厂拆除红塔上的五角星，又用红油漆涂刷塔身。,全天,https://img1.qunarzz.com/travel/poi/1705/2c/1b986ac751bc3737.jpg_480x360x95_620a65e0.jpg,5.0,,,免费,,2
白龙泉White Dragon Spring,http://travel.qunar.com/p-oi715396-bailongquan,"

地址:
云南省玉溪市红塔区龙马山山下


电话:
0877-2067406

",白龙泉是从龙马山山腰处进涌而出的一股山泉，沿山岩跌落而下，形成一道独特的自然风景。,8:00～17:30,https://img1.qunarzz.com/travel/poi/1705/ff/00e0d88ab8881637.jpg_480x360x95_56f9076c.jpg,5.0,,,免费,,3
坡垤村,http://travel.qunar.com/p-oi39175893-podiecun,,,,,5.0,,,,,3
磨豆山风电场,http://travel.qunar.com/p-oi39114195-modoushanfengdianchang,,,,,5.0,,,,,4
澄江湿地公园,http://travel.qunar.com/p-oi37807242-chengjiangshidigongyuan,,,,,5.0,,,,,5
易门县野生菌博物馆,http://travel.qunar.com/p-oi37806988-yimenxianyeshengjunbo,,,,,5.0,,,具体收费情况以现场公示为主,,5
抚仙金滩,http://travel.qunar.com/p-oi37806953-fuxianjintan,,,,,5.0,,,具体收费情况以现场公示为主,,5
澄江广龙抚海湾,http://travel.qunar.com/p-oi37806516-chengjiangguanglongfu,,这里有平静的湖面，姹紫嫣红的花海，蓝天白云，坐在木椅上，吹着凉风，非常的舒爽惬意。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
