名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
幸福古村,http://travel.qunar.com/p-oi37806117-xingfugucun,,,,,5.0,,,具体收费情况以现场公示为主,,1
梅湾湖,http://travel.qunar.com/p-oi706604-meiwanhu,"

地址:
位于四川丹棱县城西中隆乡梅湾村


电话:
0833-8196726

",梅湾湖，又名梅湾水库。位于丹棱县城西中隆乡梅湾村，距县城6公里，是七十年代大兴水利时建造的人工湖。集雨面积15.3平方公里，总库容1015万立方米，设计灌面3.16万亩，属中型水利工程，居丹棱水利工程之首。控灌丹棱镇、中隆乡、何场乡和唐河乡，还承担着丹棱县城市面上供水任务。,全天,,5.0,,,免费,,1
寨子城景区Zhaizicheng Ancient Village,http://travel.qunar.com/p-oi712093-zhaizichengjingqu,"

地址:
四川丹棱县城西北约30公里处


电话:
0833-8196726

",寨子城于清咸丰年间建成，现在是四川省级的森林公园，园内还有一处武庙建筑群，风景很不错。,8：00---19：30,https://img1.qunarzz.com/travel/poi/1803/bd/376f4df44977937.jpg_480x360x95_3209d547.jpg,5.0,,,具体收费情况以现场公示为主,,3
汉王湖,http://travel.qunar.com/p-oi712165-hanwanghu,"

地址:
四川眉山市


电话:
0833-8196726

",洪雅汉王湖又名总岗山水库，始建于1958年，竣工于1972年，位于洪雅县汉王乡总岗多悦镇、正山口乡再西行里，公路畅通。汉王湖属青衣江水系一支流--香樟河，筑坝蓄水，承灌洪雅、丹棱两县11个乡5万亩农田。汉王湖集雨面积达28平方公里，水域面2067700平方米，湖长15公里，水均深17.1米，主湖湾有10条，长约7公里。湖中有170余座青山环抱，有九湾18坳之称。,全天,,5.0,,,免费,,3
眉州活力小镇,http://travel.qunar.com/p-oi39597199-meizhouhuolixiaozhen,,眉州活力小镇坐落于四川省眉山市东坡区万科眉州文化村，是以“活力熊猫”为主题的全龄段大型家庭式无动力亲子乐园，以兼具休闲娱乐、拓展教育、户外运动、园林景观于一体的旅游目的地，更是亲子休闲度假的理想之地。眉州活力小镇占北面积约35000平米，由19个区域组成，汇集了60余组大型无动力设备，百余种亲子互动游乐项目，及丰富的IP周边产品。为游客提供了绳网攀爬类、大型钻网类、滑道类、摇晃类、感官体验类，及沙池乐园、丛林飞跃、体能拓展等全面的游戏类型。背靠眠江，紧临眉州东坡书院，桃园湖公园，环境优美，让孩子们在蓝天白云下、在优质的自然环境中一边玩乐、一边健康成长。眉州活力小镇旨在打造设备种类齐全、游乐功能丰富、景观环境舒适、休闲体验佳，且具有教育意义的亲子互动乐园。眉州活力小镇倡导人与自然的融合，主张引导游客自主的完成爬、钻、跳、摇、转、荡等动作，不使用任何电、气、液等动力装置，程度上的避免了能源驱动带来的安全隐患，让游客在.清新的空气里、成荫的大树下通过无动力的设施来锻炼身心，强健体魄，探索人与自然互融的完美之旅。孩子们的天性都是活泼的，活力小镇结合孩子的天性研发设计，让孩子们健康快乐的成长、让亲子关系在游乐中更加亲密是眉州活力小镇的初心。在这里，可以培养孩子的社交能力、在玩耍中提高孩子的团队意识、协作意识、还可以提高孩子们的身体素质，在一定程度上缓解孩子对于电子产品的偏爱，激发孩子的运动天性，锻炼孩子的平衡能力、四肢协调能力及灵活性，有利于孩子健康的同时发出孩子的无限潜力，从而培养孩子们敢于冒险的精神!,,,5.0,建议游览时间：1小时 - 3小时,,,,4
响水六坊,http://travel.qunar.com/p-oi39439877-xiangshuiliufang,,,,,5.0,,,,,4
汉阳湖忆村,http://travel.qunar.com/p-oi38674564-hanyanghuyicun,,,,,5.0,,,具体收费情况以现场公示为主,,5
蟆颐仙观,http://travel.qunar.com/p-oi38341072-mayixianguan,,,,,5.0,,,具体收费情况以现场公示为主,,5
仁寿城市湿地公园,http://travel.qunar.com/p-oi37189995-renshouchengshishidigong,,"仁寿城市湿地公园占地面积约两千亩，里面有音乐喷泉、滨水栈道、音乐剧场和扇形梯级看台等，这里风光旖旎、气候宜人，是人们休闲娱乐的好地方。
",,,5.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,6
梅湾湖Meiwanhu Sceneic Area,http://travel.qunar.com/p-oi35215460-meiwanhu,,,,,5.0,,,,,9
洪雅县民俗台会博物馆Hongyaxian Minsu Taihui Museum,http://travel.qunar.com/p-oi34272423-hongyaxianminsutaihui,,,,,5.0,,,免费,,10
