名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
二佛寺,http://travel.qunar.com/p-oi703238-erfosi,"

地址:
四川自贡市


电话:
86-28-8608095 886080393

",荣县二佛寺沿崖林立，造像上千尊，唐宋时名“浮图崖”，亦称千佛崖。因其众多佛像装金饰彩，阳光照射，金碧辉煌，故又称“金碧崖”。佛像为唐代开凿的弥勒坐佛，佛高5.8米，宽2.6米。左右龛壁上，刻有28小龛120尊造佛。,9:00-18:00,https://img1.qunarzz.com/p/tts7/1712/1b/abc71ad5e259a302.jpg_480x360x95_fc4d597b.jpg,5.0,,,20元,,2
农团生态旅游景区,http://travel.qunar.com/p-oi708989-nongtuanshengtailu:you,"

地址:
四川省自贡市

",农团生态旅游风景区地处自贡市区西南边缘，距自贡市区18公里，交通、通讯十分便利。风景区内均属深丘地貌，一般海拔400-480米之间，属岷江流域越溪河水系溜根河的发源地。乡内属大陆季风性气候，雨量充沛，无霜期长，湿润凉爽。多年平均气温17.1摄氏度，夏季最高气温36摄氏度，冬季最低气温2摄氏度，平均日照1106小时，平均无霜期300天左右，年降雨量1100余毫米。全乡总面积23.5平方公里，人口近5000人，耕地少，林地和宜林地占主体，全景区现有林地25000多亩，森林覆盖率已达70%，林...农团生态旅游风景区地处自贡市区西南边缘，距自贡市区18公里，交通、通讯十分便利。风景区内均属深丘地貌，一般海拔400-480米之间，属岷江流域越溪河水系溜根河的发源地。乡内属大陆季风性气候，雨量充沛，无霜期长，湿润凉爽。多年平均气温17.1摄氏度，夏季最高气温36摄氏度，冬季最低气温2摄氏度，平均日照1106小时，平均无霜期300天左右，年降雨量1100余毫米。全乡总面积23.5平方公里，人口近5000人，耕地少，林地和宜林地占主体，全景区现有林地25000多亩，森林覆盖率已达70%，林大多为混交林，以马尾松、杉、柏、樟、楠、油茶、杜鹃和竹类为主，有植物品种300余种，林间鸟兽达200余种，白鹤、野鸡、猫头鹰、山鹰、野兔、野猪、野猫等国家保护鸟兽常在林间出没。全乡范围内无污染企业，森林茂密，山清水秀，空气清新，自然人文景观各具特色。1999年6月，经省、市有关专家考察评定，批准农团成为四川省第一个地市州级生态示范区2000年又被确定为国家天然林重点保护区，开发生态旅游潜力极大。,全天,,5.0,,,30元,,2
童乐湾亲子乐园,http://travel.qunar.com/p-oi39582233-tonglewanqinzileyuan,,    童乐湾亲子乐园位于自贡市荣县乐德场镇东北面，风景秀丽，环境优美，是集休闲、娱乐、亲子、餐饮、会议为一体的综合乐园。占地面积约150亩，园区内绿树成荫。公园距离荣县核心城区直线距离约9公里左右，离乐德场镇约2.5公里左右，交通设施完善。    园区以“亲子乐园”为主题，网红树、网红桥、多人秋千、坑爹过山车、丛林穿越、彩虹滑道、网红自行车、丛林魔网、粉红色沙池、网红飞椅、太空漫步、溜索阵、悬崖秋千阵、喊泉、骑猪赛跑、蹦蹦云、多人跷跷板勇攀高峰、垂钓金鱼等众多时下流行的娱乐游玩元素，让孩子玩得尽兴；以水之名谱水之曲，轻功水上漂、步步惊心、跋山涉水、星星点灯、V网轻轻点水、丛林小溪、浮云飞度、水上浮桥、游船等水上项目，让你在惊险、刺激、竞技的冒险之旅中，激情狂欢；卡丁车一场时间与速度的较量，即刻在此体验；选个周末或假日，带上你的孩子，一起来体验一下吧。    园区环境优雅，农家特色饭菜常供常新。多种地道的原生态绿色食品及生态蔬菜为原料的特色菜，让你吃的安心、吃的放心。园区设置有室外停车位，具有特色的餐饮厅，让你在享受美食的同时，欣赏自然的美景，呼吸新鲜的空气，是你和家人聚餐、宴请亲朋好友的理想选择。,,,5.0,,,,,3
福农橘园·欢乐大世界,http://travel.qunar.com/p-oi38913470-funongjuyuanhuanledashi,,“福农橘园”是集餐饮、住宿、休闲度假、农业观光于一体的现代化园林式生态度假村，园区占地面积300亩，地势开阔，陆岛相连，植被丰富，环境幽静，气候湿润宜人，是现代都市稀缺的天然氧吧，也是富顺唯一的五A级乡村酒店。园内几十个游玩项目：【网红打卡】 天使之翼、粉色沙滩、熊猫蹦蹦云、网红一字秋千、圆圆秋千、网红帐篷、樱花树转盘、摇摇马、紫藤花长廊、喊泉、霍比特小屋、感应花、樱花树长廊、网红飞椅、网红独角兽；【趣味游乐项目】趣味水上七项（水上自行车/水上跷跷板/弓自桥/水上滚筒/水上走钢丝/水上爬网/手拉船）、重走长征路、七彩滑道（滑世界/攀爬）、水上乐园、勇攀高峰、溜索、儿童淘气堡、坑爹过山车、网红桥、网红秋千、小猪赛跑、儿童迷你挖机；【亲子互动】蒙眼抓小兔、圈圈套大鹅、捕鱼大赛、沙漠寻宝 ；【萌宠乐园】孔雀、小兔、灵龟、咩咩羊、梅花鹿、小香猪。,,,5.0,建议游览时间：2小时 - 4小时,,,,3
自贡市恐龙博物馆Zigong Dinosaur Museum,http://travel.qunar.com/p-oi35214887-zigongshikonglongbowu,,,,,5.0,建议游览时间：2小时 - 3小时,,,,5
釜溪步行街FuXi BuXingJie,http://travel.qunar.com/p-oi24437810-fuxibuxingjie,,,,,5.0,,,具体收费情况以现场公示为主,,5
大公井Dagong Well,http://travel.qunar.com/p-oi24411789-dagongjing,,,,,5.0,,,具体收费情况以现场公示为主,,6
荣县白塔山Rongxianbaita Mountain,http://travel.qunar.com/p-oi23344567-rongxianbaitashan,,,,,5.0,,,具体收费情况以现场公示为主,,7
盐都植物园Yandou Botanical Garden,http://travel.qunar.com/p-oi23344537-yandouzhiwuyuan,,盐都植物园内植物种类繁多，分为恐龙伴生植物观赏区、盐生植物观赏区、花田生态体验区、森林生态体验区等区块，是集科普、观赏、休闲为一体的场所。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/595c17e4159615c85e3c4a497862e59d.jpg_480x360x95_8a34746c.jpg,5.0,建议游览时间：3小时,,,,7
老盐场1957Old Salt Field 1957,http://travel.qunar.com/p-oi23344226-laoyanchang1957,,老盐场1957内设有展示大安盐厂昔日繁忙的展览区、以餐饮和玩乐为主的娱乐区、用钢架和玻璃与老厂房相结合的创意区，是集博物馆、文创、餐饮、娱乐为一体的文化创意园。,,https://img1.qunarzz.com/p/tts6/1805/45/b34b855c87cf0a02.jpg_480x360x95_ff4f3b96.jpg,5.0,建议游览时间：2小时 - 3小时,,,,7
