名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
芜湖大龙湾沙滩风景区,http://travel.qunar.com/p-oi38817984-wuhudalongwanshatanfeng,,芜湖大龙湾沙滩风景区位于鸠江区，这里有大片的沙滩，水域开阔，可以眺望到对岸林立的高楼。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
后沙村,http://travel.qunar.com/p-oi39610944-houshacun,,,,,5.0,,,,,3
老芜湖海关旧址,http://travel.qunar.com/p-oi38951090-laowuhuhaiguanjiuzhi,,,,,5.0,,,,,3
朱家桥尾水生态公园,http://travel.qunar.com/p-oi38606103-zhujiaqiaoweishuisheng,,"朱家桥尾水净化生态公园位于芜湖，公园内种植了很多水杉，水杉叶的颜色随季节的不同而不同，非常适合拍照。
",,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
芜湖丫山奇石博物馆,http://travel.qunar.com/p-oi36258531-wuhuyashanqishibowuguan,,,,,5.0,,,具体收费情况以现场公示为主,,6
弋江区西湖湿地公园Sanshan District West Lake Wetland Park,http://travel.qunar.com/p-oi35241129-yijiangquxihushidigong,"

地址:
六号路与龙湖路交叉口东南200米


电话:
3918500

",西湖湿地公园自建成以来，已成为周边市民休闲、健身的主要场所。市民来到这里消暑纳凉，观赏这美丽的景夜，在流光溢彩光影中感受着芜湖日新月异的变化。,全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
月亮湾文化旅游公园The Moon Bay Cultural and Tourist Park,http://travel.qunar.com/p-oi35238072-yueliangwanwenhualu:you,"

地址:
芜湖市三山区莲花湖综合服务区

",月亮湾文化旅游公园又叫莲花湖公园。公园整体风景优美。湖水清澈。有各种美丽怡人的小景点供游客观赏。是当地知名度较高的城市公园。,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,8
丫山国家地质森林公园Yashan National Geology Forest Park,http://travel.qunar.com/p-oi35216446-yashanguojiadizhisenlin,,森林公园非常有层次感，里面种植有很多种类的植物，树木林立，景色很不错。,,,5.0,,,具体收费情况以现场公示为主,,8
马仁森林公园Anhui Fangchang Maren Forestry Park,http://travel.qunar.com/p-oi35213903-marensenlingongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,8
安徽文化名人藏馆Anhui Cultural Celebrity Collection,http://travel.qunar.com/p-oi34273335-anhuiwenhuamingrenzang,"

地址:
芜湖市镜湖区镜湖路2-1号


电话:
3835751

",,上午8:30-11:30下午2:30-5:30,,5.0,,,免费,,9
南陵县博物馆Nanlingxian Museum,http://travel.qunar.com/p-oi34272160-nanlingxianbowuguan,"

地址:
安徽省南陵县籍山镇陵阳中路


电话:
0553-6822467

",南陵县博物馆共分为聚落遗址、铜冶遗址、土墩墓三个版块，馆内收藏器皿、陶罐、青铜器各类文物，收藏品多数为商、周时期和新石器时期的文物。,"全年 周二-周日 8:00-12:00,14:30-17:30",,5.0,建议游览时间：2小时 - 3小时,,免费,,9
