名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
怀远夜市一条街,http://travel.qunar.com/p-oi38135324-huaiyuanyeshiyitiaojie,,夜市小吃一条街，是怀远比较大的夜市商业街，外围多是小吃，内围多是音乐酒吧或者烤吧。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
梅园,http://travel.qunar.com/p-oi36448235-meiyuan,"

地址:
蚌埠市禹会区长征南路与姜桥路的交叉口东北处

",梅园位于蚌埠市禹会区，虽然离市区较远但依然无法阻挡爱花之人的热情，这里虽然叫梅园但园区内并不单是梅花，还有杏花、樱花和桃花，一到花期便竞相开放。,全天,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
龙亢农场六队Team 6 of Longkang Farm,http://travel.qunar.com/p-oi35678641-longkangnongchangliudui,,,,,5.0,,,具体收费情况以现场公示为主,,2
四方湖Sifanghu,http://travel.qunar.com/p-oi35214685-sifanghu,,,,,5.0,,,具体收费情况以现场公示为主,,3
涂山Tu Mountain,http://travel.qunar.com/p-oi35214517-tushan,,荆涂山风景区坐落于怀远县境内。因大禹治水、禹会诸侯、娶妻生子的历史故事而闻名，是省级风景名胜区。雄踞城南的荆山，相传为卞和抱璞而泣的栖隐之所。景区将荆、涂二山连为一体，占地约60平方公里，包含大小景点100多个，主要景点有禹王宫、白乳泉、启母石、圣泉、卞和洞、望淮楼、圣泉（灵泉）、台桑、禾泉农庄等。,,,5.0,,,具体收费情况以现场公示为主,,4
九河博物馆Jiuhe Museum,http://travel.qunar.com/p-oi34272872-jiuhebowuguan,,,,,5.0,,,免费,,4
沫韵坊小吃街Moyunfang Xiaochi Street,http://travel.qunar.com/p-oi22794547-moyunfangxiaochijie,"

地址:
蚌埠市淮上区淮河路


电话:
18955211002

",沫韵坊小吃街是位于淮上区的一条美食街，这里的小吃种类很多，味道也很不错，周围的环境也被维护得很好，很适合放松休闲。,全年 6:00-0:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5a238da4f2a314a33e4527cdbb967ad2.jpg_480x360x95_65e50744.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
谷阳城遗址公园Guyangcheng Ruins Park,http://travel.qunar.com/p-oi19985604-guyangchengyizhigongyuan,,谷阳城遗址公园原属连城镇谷阳村，是在谷阳遗址基础上建造的历史遗址公园。谷阳城遗址公园共有九个功能分区，即谷阳城遗址保护展示区、小王庄霸王城遗址保护展示区、遗址文化发展区、古代城市文化揭示区、遗址文化景观区、文化配套服务区、滨水湿地观光区、公共配套服务区以及居住生活区。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/b468e66f-2e1e-49b9-af81-911e16a3ca63.jpg,5.0,建议游览时间：1小时 - 2小时,,,,7
大方清真寺Dafang Mosque,http://travel.qunar.com/p-oi19985127-dafangqingzhensi,,,,,5.0,,,具体收费情况以现场公示为主,,8
新四军淮上办事处旧址Xinsijun Huaishang Banshichu Site,http://travel.qunar.com/p-oi19985126-xinsijunhuaishangbanshi,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f7ac2b8709225151a62f57f28a640b7e.jpg_480x360x95_fa826f24.jpg,5.0,,,具体收费情况以现场公示为主,,8
