名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
七彩东方田园,http://travel.qunar.com/p-oi39316176-qicaidongfangtianyuan,,七彩·东方田园位于达州市渠县渠南街道办大山社区，距渠县县城约5公里。园区占地1200亩，集科普、农副市集、劳动体验、自然研学、乡野度假、萌宠互动、精彩巡游表演与游乐项目为一体的田园综合体。致力于让大家在山川、桃株、良田、书院之间，重拾渔樵耕读诗酒田园的质朴生活乐趣，遇见您的田园梦！,,,5.0,,,,,1
红盘花乡,http://travel.qunar.com/p-oi38943034-hongpanhuaxiang,,红盘花乡位于达州市渠县天星镇北部，创建于2016年3月，是四川省红盘凯歌超市连锁有限公司总体策划，并计划投资兴建的综合生态农业旅游观光项目。是一处集休闲、娱乐、田野观光旅游于一体的生态农业产业综合性开放式基地。红盘花乡以农业增效，农民增收，带动一方经济，脱贫奔小康，造福一方人民为基础准则。结合本地区的实际情况，坚持立足当前，着眼长远，分布实施、扎实推进的原则，走以高新技术农业示范为突破口，以产业化为龙头带动农业发展，同时赋予农业景观和设施的具有旅游观光功能的综合性农业项目。,,,5.0,,,,,1
撒欢乐园,http://travel.qunar.com/p-oi38942415-sahuanleyuan,,撒欢乐园坐落于四川达州渠县城南地区，本园占地1000多余亩。本园涉及主题项目、游乐项目、休闲及观景项目组成。其中：旋转吊篮秋千、大秋千、蹦蹦云、矩阵秋千、儿童溜索、永攀高峰、国宝蹦床、人力过山车、太空漫步、水上拓展、火山攀岩、水上大世界等100多余特色项目，其中多大数项目老少皆宜。本园享誉川东首家大型亲子主题乐园美誉。  在这里是充满神奇色彩的亲子乐园！ 这里有震撼的玩乐体验！这里将为您呈献一场盛况空前的欢乐盛宴！,,,5.0,,,,,2
梨树坪湿地公园,http://travel.qunar.com/p-oi38336525-lishupingshidigongyuan,,梨树坪湿地公园是一个面积比较大的湿地公园，依山傍水，公园里有一大片的梨树，沿湖也修建有跑道，很适合跑步锻炼。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
文峰山文化旅游景区,http://travel.qunar.com/p-oi37184771-wenfengshanwenhualu:you,"

地址:
达州市渠县天星街道賨都大道西段212号


电话:
0818-7777711

",文峰山文化旅游景区，又称文峰山公园，由文峰山儒学文化游览区 、古宕渠文化游览区、竹枝园宕渠非物质文化体验区组成。是集科普教育、文化体验、文化创意、生态观光、休闲娱乐等多种功能为一体的开放性景区。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
东湖公园,http://travel.qunar.com/p-oi36447968-donghugongyuan,"

地址:
东湖路

",东湖公园位于县城东湖路，以观赏和健身为主的公园，1983年始建，后陆续扩建，近年打造有环湖健身路、湿地公园、东湖广场。有解放初期人工凿造的面积约37.3公顷，蓄水约1000万立方米的湖泊，是东湖公园的核心，是市民休闲游玩健身好去处。,全天,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
秦巴海洋世界,http://travel.qunar.com/p-oi36148392-qinbahaiyangshijie,"

地址:
达州市万源市茶垭乡秦巴物流园内


电话:
18682868551

",四川万源，秦巴海洋世界之旅。秦巴海洋世界位于万源市茶垭乡秦巴物流园内，是一个集观赏性、知识性、娱乐性于一体的综合性海洋主题乐园！秦巴海洋世界有上千种海洋珍惜水族，设有海底隧道、鲨鱼港湾、浪漫水母等，是您休闲娱乐的好去处，集观赏性、知识性、娱乐性于一体，在观赏神奇的海洋生物的同时，更让游客领略到博大的海洋文化。,"09:00-18:00,17:30停止入场",,5.0,建议游览时间：2小时 - 3小时,,"{'秦巴海洋世界门票成人票\n\n': ['¥58起'], '秦巴海洋世界门票儿童票\n\n': ['¥58起']}",,5
亡耳洞,http://travel.qunar.com/p-oi35643940-wangerdong,,,,,5.0,,,具体收费情况以现场公示为主,,6
"百节镇乌梅山Dark Plum Mountain, Baijie Town",http://travel.qunar.com/p-oi35560166-baijiezhenwumeishan,"

地址:
达州市-达川区-百节镇蔡家坡

",百节镇乌梅山位于达州，乌梅山内的景点很多，有烟雨观景台、梅林、平定寨、乌梅湖、乌梅山庄、百节滩、乌梅文化广场和四季花田等。,全年 9:00-21:00,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
宣汉县峨城竹海公园Xuanhanxian Echeng Zhuhai Park,http://travel.qunar.com/p-oi35213603-xuanhanxianechengzhuhai,,宣汉县峨城竹海公园占地面积2.8万亩，森林覆盖率达95%，平均海拔960米，年平均温度14.5度，以得天独厚的生态自然景观及区位优势著称。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,9
