名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
金川植物园,http://travel.qunar.com/p-oi38337317-jinchuanzhiwuyuan,,,,,5.0,,,具体收费情况以现场公示为主,,1
金昌市金川区镍都开拓者纪念馆Jinchangshi Jinchuanqu Niedou Kaituozhe Memorial Hall,http://travel.qunar.com/p-oi34274227-jinchangshijinchuanqu,,,,,5.0,,,免费,,2
金川区博物馆Jinchuanqu Museum,http://travel.qunar.com/p-oi34272839-jinchuanqubowuguan,"

地址:
金昌市金川区三角城

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,2
紫金花海Jinchang Sea of Dactylicapnos scandens,http://travel.qunar.com/p-oi32774102-zijinhuahai,"

地址:
新华路街道天津路与泰安路交叉口北150米

",“紫金花海”位于金昌市区的北部，总面积有700多亩，走进金昌，宛若走进了花的海洋。,全年 9:00-21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d5eea002b1856f6a89c91f7850c5286b.jpg_480x360x95_c73116fa.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
金昌市文化中心Jinchang Library,http://travel.qunar.com/p-oi19522759-jinchangshiwenhuazhong,,金昌市文化中心建筑面积一万多平米，外形设计的灵感来自于气候和山脉，实体墙和玻璃幕墙相结合，交替设置，新颖有趣。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
永昌县图书馆Yongchangxian Library,http://travel.qunar.com/p-oi19465882-yongchangxiantushuguan,,,,,5.0,,,,,5
金川紫金花海,http://travel.qunar.com/p-oi9787351-jinchuanzijinhuahai,,走进金昌紫金花海，宛若走进了花的海洋。满目炫紫的薰衣草、马鞭草、琉璃苣与流金溢彩的油菜花、向日葵、天人菊交相辉映，景色如画。百媚千娇的郁金香、虞美人、芍药、月季等各种花卉争奇斗艳，馨香怡人，浪漫气息处处洋溢。尤其到了夏天，这里游人如织，吸引着人们来一睹这百花盛放的景致。,,https://img1.qunarzz.com/travel/d0/1809/8e/80a7a1c2b6b4f5b5.jpg_480x360x95_905cd99b.jpg,5.0,,,,,5
金川植物园,http://travel.qunar.com/p-oi38337317-jinchuanzhiwuyuan,,,,,5.0,,,具体收费情况以现场公示为主,,7
金川植物园,http://travel.qunar.com/p-oi38337317-jinchuanzhiwuyuan,,,,,5.0,,,具体收费情况以现场公示为主,,8
金川植物园,http://travel.qunar.com/p-oi38337317-jinchuanzhiwuyuan,,,,,5.0,,,具体收费情况以现场公示为主,,9
