名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
薄与路故城Boyulu Old Town,http://travel.qunar.com/p-oi703492-boyulugucheng,,"薄与路故城位于克东县金城乡古城村。蒲峪二字系女真语，是""乌裕尔""的转音，系女真语""低洼地""或""涝洼地""的意思。古城濒临乌裕尔河南岸，横卧于东北、西三而沼泽草甸的怀抱之中。与东南方7.5公里处的克东县城、风景区二克山遥相呼应。西南7公里处是克东县金城乡政府所在地，北面越过乌裕尔河4公里是齐北铁路。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a38351d421d4e357a4eff5e208938761.jpg_480x360x95_9810e3e3.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
爱民湖,http://travel.qunar.com/p-oi38950401-aiminhu,,,,,5.0,,,,,3
鹤乡龙瓷体验馆,http://travel.qunar.com/p-oi38937100-hexianglongcitiyanguan,,鹤乡龙瓷体验馆是在“中国鹤家乡”齐齐哈尔建设的依安陶瓷展示营销平台，通过互动体验的方式招引更多的人了解陶瓷、参与陶瓷进而促进依安县陶瓷产品的销售，最终把该体验馆打造成政府的参观点、学生的研学所、家长的亲子馆、打卡地。,,,5.0,,,,,4
县果树示范场,http://travel.qunar.com/p-oi35303186-xianguoshushifanchang,,,,,5.0,,,具体收费情况以现场公示为主,,5
讷河市博物馆Neheshi Museum,http://travel.qunar.com/p-oi34273888-neheshibowuguan,"

地址:
黑龙江省齐齐哈尔市讷河市中心大街483号

",馆内设置了历史陈列厅和展厅，展示了讷河市悠久的历史文化。,全年 周二-周日 9:00-16:30,,5.0,建议游览时间：2小时 - 3小时,,免费,,6
罗西亚大街历史文化街区Luoxiya Street,http://travel.qunar.com/p-oi23343620-luoxiyadajielishiwenhua,,罗西亚大街两侧均匀分布着拥有百年历史的俄式建筑。是中东铁路沿线俄式建筑保存较好、具有突出特色的一条街道。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2724ffba56278a66684d20a130f63341.jpg_480x360x95_caafd992.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
和平广场Heping Square,http://travel.qunar.com/p-oi23342529-hepingguangchang,,广场主体由抗战纪念墙、胜利纪念碑、江桥抗战纪念雕塑等组成，为了纪念中国人民抗日战争暨世界反法西斯战争胜利60周年；江桥抗战——打响中国抗日战争和世界反法西斯战争第一枪。充分展现中华民族热爱和平、抵御外侮的伟大爱国主义精神，成为向广大人民群众进行爱国主义教育的基地、世界反法西斯的宣传阵地和重要的文化旅游胜地。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a1a942cfeab60aba395d26260829bb54.jpg_480x360x95_9c4f9a34.jpg,5.0,,,具体收费情况以现场公示为主,,8
龙安桥国家湿地公园Long'anqiao National Wetland Park,http://travel.qunar.com/p-oi22945118-longanqiaoguojiashidi,"

地址:
齐齐哈尔市富裕县龙安钱桥镇南行5公里


电话:
0452-3209999

",乌裕尔河龙安桥国家湿地公园坐落在齐齐哈尔市龙安桥镇小河东村，占地3500万平方米，是集温泉养生、湿地观光、商务接待、休闲采摘、特种种植于一体的湿地公园。这里有原生态的自然环境，四季皆宜的温泉养生，碧波荡漾的自然湖泊，健康环保的生态农业，等待你的到来。,营业状态调整频繁，建议提前咨询景区。 开放时间：9:00-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9025d5baab55d090c0b735b5a4b8e4f0.jpg_480x360x95_7a903aa9.jpg,5.0,,,30元,,9
蛇洞山-碾子山地质公园Shedong Shan-Nianzi Shan Dizhi Park,http://travel.qunar.com/p-oi20002482-shedongshan_nianzishan,,碾子山地质公园是地貌景观类公园。公园内岩石大多都是天然出露。都有特别重要的研究价值。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
钟德寺Zhongdesi,http://travel.qunar.com/p-oi20001261-zhongdesi,,,,,5.0,,,具体收费情况以现场公示为主,,9
文明公园Wenming Park,http://travel.qunar.com/p-oi20001024-wenminggongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,10
