名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
永福花乡,http://travel.qunar.com/p-oi713224-yongfuhuaxiang,"

地址:
福建漳平市闽西南结合部


电话:
0597-7881057

",永福地处闽西南结合部，属漳平市，四周群山环抱，一马平川，海拔755米。这里山明水秀，气候宜人，有“小庐山”之誉。永福早期为畲族聚居地，文物古迹很多，有螯头古瓷窑址、毓秀塔、步云桥、惠宫桥及长青楼古堡等。永福更是著名花乡。这里家家养花，处处花圃，四季如春，花团锦簇，盛产茶花、瑞香、兰花、杜鹃等名贵花卉。每年正月初六是永福传统花圩，人如潮，花如海，甚是热闹。永福花卉远销全国23个省市和港、澳及东南亚等地。1984年春节陆定一同志为永福题辞：“永福花乡”。此外...永福地处闽西南结合部，属漳平市，四周群山环抱，一马平川，海拔755米。这里山明水秀，气候宜人，有“小庐山”之誉。永福早期为畲族聚居地，文物古迹很多，有螯头古瓷窑址、毓秀塔、步云桥、惠宫桥及长青楼古堡等。永福更是著名花乡。这里家家养花，处处花圃，四季如春，花团锦簇，盛产茶花、瑞香、兰花、杜鹃等名贵花卉。每年正月初六是永福传统花圩，人如潮，花如海，甚是热闹。永福花卉远销全国23个省市和港、澳及东南亚等地。1984年春节陆定一同志为永福题辞：“永福花乡”。此外，永福还出产水蜜桃、桔子、藤器、竹笠、荆芥等土特产。,8：00-17：00,https://img1.qunarzz.com/travel/d6/1502/6a/456b2e9caee7bd.jpg_480x360x95_50aaacb6.jpg,5.0,,,{'漳平永福樱花园+万亩茶园包车一日游【茶山赏浪漫樱花】\n\n': ['¥680起']},,3
福建省苏维埃政府旧址,http://travel.qunar.com/p-oi5859852-fujianshengsuweiaizheng,,福建省苏维埃政府旧址，全国重点文物保护单位，位于福建省长汀县汀州镇兆征路41号。该址宋代为汀州禁军署地，元代为汀州卫署址，明、清两代辟为试院，是汀州历史极具象征意义的一处古迹。1932年3月18日，福建省第一次工农兵代表大会在此隆重召开，中共福建省委、团省委和工农群众团体代表100余名代表参加了大会。中华苏维埃临时中央政府派代表任弼时出席并指导大会。张鼎丞主持大会。大会通过了《土地问题》、《实行劳动问题》等一系列重要决议和宣言，正式宣告成立福建省苏维埃政府。,,https://img1.qunarzz.com/travel/poi/201405/15/a92803b8d09f3743ddb12cfb.jpg_480x360x95_bea5fdae.jpg,5.0,,,,,3
梅花山,http://travel.qunar.com/p-oi711148-meihuashan,"

地址:
福建省上杭县古田镇


电话:
0597-3601169、0597-3601599


官网:
http://www.mhszghy.com

",,8:00-17:00,https://img1.qunarzz.com/travel/poi/1806/4a/4628b795db3bf237.jpg_480x360x95_ecd5ae06.jpg,5.0,建议游览时间：4小时 - 6小时,冬无严寒，夏无酷暑，一年四季都很适合旅游。夏秋早上前往最佳，可以体验到漫步云端的风景。,{'【独立包车】厦门-龙岩梅花山中国虎园+古田会议一日游 专车1对1VIP服务出发时间自由多种车型可选\n\n': ['¥1388起']},,3
古田镇,http://travel.qunar.com/p-oi708348-gutianzhen,"

地址:
福建龙岩上杭县东北部

","古田镇位于福建省上杭县东北部、梅花山南麓，地外新罗、上杭、连城三县(区)结合部。全镇方圆227平方公里，辖21个行政村，4934户，19594人。91年全镇工农业总产值突破亿元，率先成为全国革命老区第一个亿元镇。1999年以来，全镇紧紧围绕拓展市场、调整结构、创新体制""三大重点""和市场、区域、创新、项目、品牌""五大战略""，结合自身独特的优势，着力优化产业结构和投资环境，切实加强党的建设和精神文明建设，解放思想，奋力拼搏，两个文明建设协调发展。2002年全镇工农业总产值...古田镇位于福建省上杭县东北部、梅花山南麓，地外新罗、上杭、连城三县(区)结合部。全镇方圆227平方公里，辖21个行政村，4934户，19594人。91年全镇工农业总产值突破亿元，率先成为全国革命老区第一个亿元镇。1999年以来，全镇紧紧围绕拓展市场、调整结构、创新体制""三大重点""和市场、区域、创新、项目、品牌""五大战略""，结合自身独特的优势，着力优化产业结构和投资环境，切实加强党的建设和精神文明建设，解放思想，奋力拼搏，两个文明建设协调发展。2002年全镇工农业总产值达59148万元，实现财政收入1103万元，农民人均纯收入3597元。",7:30~17:00,https://img1.qunarzz.com/travel/poi/1806/d7/4239b7451ff6e037.jpg_480x360x95_4b9823f8.jpg,5.0,建议游览时间：2小时,冬无严寒，夏无酷暑，一年四季都很适合旅游。,62元,,3
西陂天后宫Xipi Temple of the Queen of Heaven,http://travel.qunar.com/p-oi713816-xipotianhougong,"

地址:
高陂镇西陂村

",西陂天后宫由大门、戏台、大宝殿等组成，砖木结构，建筑雄伟壮观而古朴，四周环境优美。,8：00--18：00,https://img1.qunarzz.com/travel/poi/1409/12/f1011dde22884c9cffffffffc8d65eac.jpg_480x360x95_ecf9a786.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
云顶观光茶园Longyan Genting Tea Garden,http://travel.qunar.com/p-oi707782-yundingguanguangchayuan,"

地址:
龙岩市新罗区小池镇


电话:
(0597)2552999

",龙岩云顶茶园占地广阔，配套设施齐全，有马场，人造瀑布，烧烤亭等，是休闲度假的好去处。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c9c0642619f2a031ea2196101165f57b.jpg_480x360x95_9676cdff.jpg,5.0,建议游览时间：4小时,,10元,,5
苏维埃政府旧址,http://travel.qunar.com/p-oi711463-suweiaizhengfujiuzhi,"

地址:
龙岩市长汀县城兆征路


电话:
0597-6831010

",座落于长汀县城兆征路，原为汀州历代考试场所，试院内有唐代双柏树、龙山书院、朱子祠等，为庭院式土木结构厢房，占地面积11370平方米。1932年3月18日福建省第一次工农兵代表大会在此召开，通过了《实行劳动法令》、《土地问题》、《军事工作》、《财政经济问题》、《苏维埃建设问题》等决议案，成立了福建省苏维埃政府，张鼎丞任主席。下设裁判、财政、粮食、土地、妇女、文化、劳动、工农检查等8个部。会后省苏机关在此办公。现为“长汀革命历史陈列馆”，1988年国务院公布为全国重...座落于长汀县城兆征路，原为汀州历代考试场所，试院内有唐代双柏树、龙山书院、朱子祠等，为庭院式土木结构厢房，占地面积11370平方米。1932年3月18日福建省第一次工农兵代表大会在此召开，通过了《实行劳动法令》、《土地问题》、《军事工作》、《财政经济问题》、《苏维埃建设问题》等决议案，成立了福建省苏维埃政府，张鼎丞任主席。下设裁判、财政、粮食、土地、妇女、文化、劳动、工农检查等8个部。会后省苏机关在此办公。现为“长汀革命历史陈列馆”，1988年国务院公布为全国重点文物保护单位。,8：30-18：00,https://img1.qunarzz.com/travel/d8/1510/53/5b1d4c1f8b5975.jpg_480x360x95_f3173867.jpg,5.0,,,免费,,6
金汤温泉康养山庄,http://travel.qunar.com/p-oi39887633-jintangwenquankangyang,,溪口温泉据福建省地质工程勘察院勘察，水质位列全国前四，福建第一。含氟，偏硅酸，水温62度，达到热矿水命名标准，可命名为氟水，硅水热矿水,,,5.0,建议游览时间：0.8小时 - 1.5小时,,,,6
容膝居,http://travel.qunar.com/p-oi39245799-rongxiju,,,,,5.0,,,,,6
马兰山,http://travel.qunar.com/p-oi38942448-malanshan,,,,,5.0,,,,,7
恋城1908文创街区,http://travel.qunar.com/p-oi37806243-liancheng1908wenchuang,"

地址:
龙川东路88号


电话:
2338108

",龙岩1908文创街区位于新罗区，占地面积11000平方米，文创区内有闽西工农银行旧址、隐泉书院、国共谈判点六角亭等红色旧址、纪念建筑、人文景观。并对具有龙岩传统建筑特色的南门头老街进行了升级改造，凸显文化展示、建筑创新、文创聚集、夜间经济的综合性特色街区。,"全年 周一,周日 09:00-21:30",,5.0,,,具体收费情况以现场公示为主,,9
